file	line	env	title	labels	proof_after	body_start
sec_preliminaries.tex	369	proposition	Finite-state determinant data	prop:finite-state-data-collection;prop:finite-state-data-package	yes	 \label{prop:finite-state-data-collection} \label{prop:finite-state-data-package} The following objects form the finite-state input data used in Main Theorems~I--III: \[ (A,X_A^+,p_n(A),\zeta_A,\Lambda(A),G,\tau, \widetilde A,A_\varrho,\psi^m,a_{\varrho, \pi}^{(m)}) . \] More precisely, once a finite directed multigraph \(\Gamma=(V,E_A)\), a primitive adjacency matrix \(A\), a finite group \(G\), and an edge cocycle \(\tau:E_A\to G\) are fixed, all the displayed objects are determined as follows
sec_preliminaries.tex	458	lemma	Reduced constant at a simple eigenvalue	lem:simple-eigenvalue-reduced-constant	yes	 \label{lem:simple-eigenvalue-reduced-constant} Let \(M\) be a complex square matrix and let \(\alpha\neq 0\) be a simple eigenvalue of \(M\). Define \[ C_\alpha(M) :=\lim_{z\to \alpha^{-1}} (1-\alpha z)\det(I-zM)^{-1}. \] Then the limit exists and \[ C_\alpha(M) = \prod_{\substack{\nu\in\spec(M)\\ \nu\neq\alpha}} \left(1-\frac{\nu}{\alpha}\right)^{-1}, \] with algebraic multiplicities in the product. In particular, if \(A\) is primitive with Perron root \(\lambda\), then \(C(A)=C_\lambda(A)\). 
sec_preliminaries.tex	507	definition	Abel finite-part constant	def:abel-finite-part	no	\label{def:abel-finite-part} For a primitive matrix \(A\) with Perron root \(\lambda>1\), we write \[ \FP(A):=\lim_{r\uparrow 1}\bigl(P_A(r)+\log(1-r)\bigr). \] The associated orbit-Mertens constant is \[ \mathcal M(A):=\gamma+\FP(A). \] 
sec_preliminaries.tex	553	definition	Fixed-matrix cyclic-lift records	def:spectral-fingerprints	no	 \label{def:spectral-fingerprints} In the fixed-matrix cyclic-lift comparison, the \emph{cyclic spectral record} of \(A\) is the sequence \[ \{\Psi_q(A)\}_{q\ge 1}. \] For each \(q\ge 1\), the \emph{\(q\)-torsion cyclic record} is the root-of-unity layer \[ \{F_A(\omega_q^j)\}_{0\le j\le q-1}. \] The associated \emph{fixed-matrix exponential record} is the growth rate \[ \limsup_{q\to\infty}\abs{\Psi_q(A)}^{1/q}. \] These are auxiliary scalar records of this one matrix \(A\). They are not invari
sec_chebotarev_main_inversion.tex	59	proposition	Finite determinant assembly for Main Theorem I	prop:main-theorem-i-assembly-map	yes	 \label{prop:main-theorem-i-assembly-map} The following implications assemble Main Theorem~I without any use of the Perron-boundary hypothesis \(\eta<\lambda\). \begin{enumerate}[label=\textup{(\alph*)},leftmargin=*] \item \Cref{lem:twisted-trace-identity,thm:class-function-linearisation} identify, for every class function \(\phi\), the periodic logarithm \(\mathcal L_\phi(z)\) on \(|z|<\lambda^{-1}\) as a finite character-table linear combination of the determinant logarithms \(\log\det(I-zA_\p
sec_chebotarev_main_inversion.tex	207	proposition	Conjugacy-class expansion	prop:class-indicator-expansion	yes	 \label{prop:class-indicator-expansion} For every conjugacy class \(C\subset G\) and every \(g\in G\), \[ \mathbf 1_C(g) =\frac{|C|}{|G|} \sum_{\varrho\in\Irr(G)} \chi_\varrho^\ast(C)\,\chi_\varrho(g) \] 
sec_chebotarev_main_inversion.tex	247	proposition	Peter--Weyl determinant factorisation	prop:kernel-peter-weyl-block-diagonalisation	yes	 \label{prop:kernel-peter-weyl-block-diagonalisation} Let \(\widetilde A\) be the adjacency matrix of the skew-product extension attached to \(\tau\). Let matrices act on row vectors. With the right regular action \(R_h\delta_g=\delta_{gh}\) on \(\CC[G]\), one has \[ \widetilde A = \sum_{e\in E_A} E_{o(e),t(e)}\otimes R_{\tau(e)}, \] and under the Fourier--Wedderburn decomposition \[ \CC[G]\cong \bigoplus_{\varrho\in\Irr(G)}M_{d_\varrho}(\CC), \qquad d_\varrho:=\dim\varrho, \] the operator \(R_h
sec_chebotarev_main_inversion.tex	341	lemma	Twisted gap as a skew-product peripheral-spectrum condition	lem:twisted-gap-skew-product-peripheral	yes	 \label{lem:twisted-gap-skew-product-peripheral} Let \(\widetilde A\) be the skew-product adjacency matrix attached to \(\tau\), and set \[ \eta:=\max_{\varrho\neq\mathbf 1}\rho(A_\varrho). \] If there is no non-trivial irreducible representation, in particular if \(G\) is trivial, this maximum is empty and by convention \(\eta=0\). Then \[ \spec(\widetilde A) = \bigsqcup_{\varrho\in\Irr(G)} \spec(A_\varrho)^{\sqcup \dim\varrho}, \] where the union is taken with algebraic multiplicity. Consequen
sec_chebotarev_main_inversion.tex	423	proposition	Twisted spectral-radius bound	prop:twisted-spectral-radius-bound	yes	 \label{prop:twisted-spectral-radius-bound} For every irreducible unitary representation \(\pi\in\Irr(G)\), \[ \rho(A_\pi)\le \lambda. \] 
sec_chebotarev_main_inversion.tex	499	lemma	Twisted trace identity	lem:twisted-trace-identity	yes	 \label{lem:twisted-trace-identity} For every irreducible representation \(\varrho\in\Irr(G)\) and every \(n\ge 1\), \[ \Tr(A_\varrho^n) = \sum_{x\in\operatorname{Fix}(\sigma^n)} \chi_\varrho(\tau_n(x)). \] 
sec_chebotarev_main_inversion.tex	560	theorem	"Main Theorem I(a): class-function determinant
  linearisation"	thm:class-function-linearisation;eq:class-logarithm-determinant-linearisation	yes	 \label{thm:class-function-linearisation} Let \(\phi:G\to\CC\) be a class function and write \[ \phi=\sum_{\varrho\in\Irr(G)}\widehat\phi(\varrho)\chi_\varrho \] as in \eqref{eq:class-function-fourier}. Then, for \(|z|<\lambda^{-1}\), \begin{equation}\label{eq:class-logarithm-determinant-linearisation} \mathcal L_\phi(z) = \sum_{\varrho\in\Irr(G)} \widehat\phi(\varrho)\, \log\det(I-zA_\varrho)^{-1}. \end{equation} Here each determinant logarithm is taken in the branch fixed by the logarithm conv
sec_chebotarev_fixed_label_and_boundary.tex	1	lemma	Primitive expansion of class-function logarithms	lem:class-logarithm-primitive-expansion;eq:class-logarithm-primitive-expansion	yes	 \label{lem:class-logarithm-primitive-expansion} For every class function \(\phi:G\to\CC\) and every \(|z|<\lambda^{-1}\), \begin{equation}\label{eq:class-logarithm-primitive-expansion} \mathcal L_\phi(z) = \sum_{\gamma\in\cP}\sum_{r\ge 1} \frac{\phi(\tau(\gamma)^r)}{r}z^{r|\gamma|}. \end{equation} 
sec_chebotarev_fixed_label_and_boundary.tex	48	remark	"Where ordinary M\""obius inversion stops"	rem:ordinary-mobius-stops	yes	" \label{rem:ordinary-mobius-stops} If \(\phi=\mathbf 1\), the factor \(\phi(\tau(\gamma)^r)\) in \eqref{eq:class-logarithm-primitive-expansion} is independent of \(r\), and \Cref{cor:class-function-adams-mobius} reduces to the usual scalar M\""obius inversion for primitive orbit counts. For a non-trivial class function this independence fails: the \(r\)-fold repetition changes the label from \(g\) to \(g^r\). The Adams operator \(\psi^r\) is exactly the correction needed for this change. Thus the"
sec_chebotarev_fixed_label_and_boundary.tex	66	corollary	"Main Theorem I(b): Adams--M\""obius primitive
  inversion"	cor:class-function-adams-mobius;eq:class-adams-mobius-inversion	yes	 \label{cor:class-function-adams-mobius} For every class function \(\phi:G\to\CC\) and every \(|z|<\lambda^{-1}\), \begin{equation}\label{eq:class-adams-mobius-inversion} \Pi_\phi(z) = \sum_{m\ge 1}\frac{\mu(m)}{m}\, \mathcal L_{\psi^m\phi}(z^m). \end{equation} 
sec_chebotarev_fixed_label_and_boundary.tex	177	theorem	Fixed-label Euler transform with Perron branch convention	thm:fixed-label-euler-transform;eq:fixed-label-euler-transform-adams-mobius;eq:fixed-label-euler-transform-vs-artin;eq:fixed-label-euler-transform-perron-branch-series	yes	 \label{thm:fixed-label-euler-transform} Let \(\phi:G\to\CC\) be a class function. For every \(|z|<\lambda^{-1}\), the fixed-label Euler transform satisfies \begin{equation}\label{eq:fixed-label-euler-transform-adams-mobius} F_\phi(z) = \sum_{r\ge1}\sum_{m\ge1} \frac{\mu(m)}{rm}\, \mathcal L_{\psi^m\phi}(z^{rm}). \end{equation} Equivalently, \begin{equation}\label{eq:fixed-label-euler-transform-vs-artin} \mathcal L_\phi(z) = \sum_{r\ge1}\frac{\Pi_{\psi^r\phi}(z^r)}{r}, \qquad F_\phi(z) = \sum_{r
sec_chebotarev_fixed_label_and_boundary.tex	294	proposition	Periodic, primitive, and fixed-label logarithms	prop:logarithmic-channel-separation;eq:channel-separation-artin;eq:channel-separation-primitive;eq:channel-separation-fixed;eq:channel-separation-obstruction	yes	 \label{prop:logarithmic-channel-separation} Let \(\phi:G\to\CC\) be a class function. On \(|z|<\lambda^{-1}\) the following three logarithmic channels are related, and only related, by the displayed Adams operations: \begin{align} \mathcal L_\phi(z) &=\sum_{r\ge1}\frac{\Pi_{\psi^r\phi}(z^r)}{r}, \label{eq:channel-separation-artin}\\ \Pi_\phi(z) &=\sum_{m\ge1}\frac{\mu(m)}{m} \mathcal L_{\psi^m\phi}(z^m), \label{eq:channel-separation-primitive}\\ F_\phi(z) &=\sum_{r,m\ge1}\frac{\mu(m)}{rm} \math
sec_chebotarev_fixed_label_and_boundary.tex	357	lemma	Trace-power majorant for Perron-boundary determinant logarithms	lem:perron-boundary-trace-power-majorant;eq:trace-power-perron-bound;eq:double-trace-power-majorant	yes	 \label{lem:perron-boundary-trace-power-majorant} Assume \(\lambda>1\) and \(\eta<\lambda\). Let \(\mathscr A:=\{A_\pi:\\pi\in\Irr(G)\}\). There is a constant \(C_{\mathscr A}\) with the following properties. \begin{enumerate} \item For every \(B\in\mathscr A\), every \(\ell\ge1\), and every \(k\ge2\), \begin{equation}\label{eq:trace-power-perron-bound} \abs{\Tr(B^\ell)}\le C_{\mathscr A}\lambda^\ell, \qquad \abs{\log\det(I-t^k\lambda^{-k}B)^{-1}} \le C_{\mathscr A}\lambda^{1-k} \end{equation} u
sec_chebotarev_fixed_label_and_boundary.tex	477	lemma	Perron-boundary majorant for the fixed-label double series	lem:fixed-label-perron-double-majorant;eq:fixed-label-perron-double-majorant-series;eq:fixed-label-perron-double-majorant-bound	yes	 \label{lem:fixed-label-perron-double-majorant} Assume \(\lambda>1\) and \(\eta<\lambda\). Let \(\phi:G\to\CC\) be a class function with \(\langle\phi,\mathbf1\rangle=0\), and write \(\psi^m\phi=\sum_{\pi\in\Irr(G)}b_{\phi,\pi}^{(m)}\chi_\pi\). Then the Abel-boundary determinant series \begin{equation}\label{eq:fixed-label-perron-double-majorant-series} \sum_{q,m\ge1}\frac{\mu(m)}{qm} \sum_{\substack{\pi\in\Irr(G)\\(q,m,\pi)\neq(1,1,\mathbf1)}} b_{\phi,\pi}^{(m)} \log\det(I-t^{qm}\lambda^{-qm}A_
sec_chebotarev_fixed_label_and_boundary.tex	526	remark	"Relation to necklace/Witt inversion and twisted-zeta
  precedents"	rem:adams-mobius-literature-position	no	" \label{rem:adams-mobius-literature-position} The cancellation in \Cref{cor:class-function-adams-mobius} is the finite-group analogue of the classical ``primitive from repetitions'' mechanism in the necklace and Witt-vector literature \cite{MetropolisRota1983Necklaces,Wehrhahn1990AperiodicRings}. What is specific here is the finite-state cocycle input: repetitions replace a primitive label \(g\) by \(g^m\), so the relevant correction is not scalar M\""obius inversion alone but the Adams operation"
sec_chebotarev_peter_weyl_bridge.tex	35	lemma	Uniform bound for Adams decomposition coefficients	lem:adams-coefficients-bounded	yes	 \label{lem:adams-coefficients-bounded} For every \(\varrho,\pi\in\Irr(G)\) and every \(m\ge 1\), \[ \abs{a_{\varrho,\pi}^{(m)}}\le \dim\varrho. \] 
sec_chebotarev_peter_weyl_bridge.tex	65	remark	Periodicity of Adams coefficients	rem:adams-coefficients-periodic	yes	 \label{rem:adams-coefficients-periodic} Let \(\exp(G)\) denote the exponent of \(G\). Since \(g^{m+\exp(G)}=g^m\) for every \(g\in G\), one has \[ \psi^{m+\exp(G)}\chi_\varrho=\psi^m\chi_\varrho. \] Consequently \(a_{\varrho,\pi}^{(m+\exp(G))}=a_{\varrho,\pi}^{(m)}\) for all \(m\), so only finitely many Adams coefficient vectors occur. In the estimates below we use this finiteness only through the uniform bound of \Cref{lem:adams-coefficients-bounded}. 
sec_chebotarev_peter_weyl_bridge.tex	79	corollary	"Main Theorem I(c): irreducible-channel determinant
  formula"	cor:primitive-peter-weyl-determinant;eq:primitive-peter-weyl-determinant	yes	 \label{cor:primitive-peter-weyl-determinant} For each \(\pi\in\Irr(G)\), write \[ P_\pi(z):=\det(I-zA_\pi),\qquad P_\pi(0)=1, \] and let \(D_\pi\) be the unique analytic germ on \(|z|<\lambda^{-1}\) with \(D_\pi(0)=0\) and \(\exp D_\pi=P_\pi^{-1}\). The finite determinant data are the polynomials \(P_\pi\), or equivalently the matrices \(A_\pi\); the logarithmic branches are these normalized germs derived from them. For every \(\varrho\in\Irr(G)\) and every \(|z|<\lambda^{-1}\), \begin{equation
sec_chebotarev_peter_weyl_bridge.tex	137	remark	Abelian toy model: the cyclic lift	rem:abelian-toy-model-cyclic	yes	" \label{rem:abelian-toy-model-cyclic} Let \(G=\ZZ/q\ZZ\), and let \(\chi_j(h)=\omega_q^{jh}\) be its irreducible characters. The canonical cyclic-lift cocycle is the special cocycle \(\tau_q:E_A\to\ZZ/q\ZZ\) with \(\tau_q(e)=1\) on every edge; its skew-product adjacency matrix is \(A\otimes P_q\). For this cocycle, and not for a general \(\ZZ/q\ZZ\)-valued edge labelling, one has \(A_{\chi_j}=\omega_q^jA\), and therefore \[ \mathcal L_{\chi_j}(z)=\log\det(I-\omega_q^j zA)^{-1}. \] The Adams--M\"""
sec_chebotarev_peter_weyl_bridge.tex	164	theorem	Main Theorem I(d): primitive Peter--Weyl trace formula	thm:primitive-peter-weyl-trace;eq:primitive-peter-weyl-trace	yes	 \label{thm:primitive-peter-weyl-trace} For every \(\varrho\in\Irr(G)\) and every \(n\ge 1\), \begin{equation}\label{eq:primitive-peter-weyl-trace} \pi_{n,\varrho}(A,\tau) = \frac{1}{n}\sum_{m\mid n}\mu(m) \sum_{\pi\in\Irr(G)} a_{\varrho,\pi}^{(m)} \Tr(A_\pi^{n/m}). \end{equation} 
sec_chebotarev_peter_weyl_bridge.tex	191	corollary	Finite trace formula for primitive coefficients	cor:primitive-peter-weyl-trace	yes	 \label{cor:primitive-peter-weyl-trace} The coefficient-level primitive data are finite-state data. More precisely, the finite character table of \(G\), the Adams coefficients \(a_{\varrho,\pi}^{(m)}\), and the twisted trace sequences \(\{\Tr(A_\pi^k):k\ge1,\ \pi\in\Irr(G)\}\) determine every primitive Peter--Weyl coefficient \(\pi_{n,\varrho}(A,\tau)\). Equivalently, for every \(\varrho\in\Irr(G)\), the series \(\Pi_\varrho(z) =\sum_{n\ge1}\pi_{n,\varrho}(A,\tau)z^n\) is determined by the finit
sec_chebotarev_peter_weyl_bridge.tex	236	proposition	Conjugacy-class primitive decomposition	prop:class-primitive-decomposition;eq:class-primitive-generating-function;eq:class-primitive-coefficients	yes	 \label{prop:class-primitive-decomposition} Let \(C\subset G\) be a conjugacy class. If \(p_{n,C}\) denotes the number of primitive orbits of length \(n\) whose \(G\)-label lies in \(C\), then for \(|z|<\lambda^{-1}\), \begin{equation}\label{eq:class-primitive-generating-function} \sum_{n\ge 1}p_{n,C}z^n = \frac{|C|}{|G|} \sum_{\varrho\in\Irr(G)} \chi_\varrho^\ast(C)\,\Pi_\varrho(z), \end{equation} and therefore \begin{equation}\label{eq:class-primitive-coefficients} p_{n,C} = \frac{|C|}{|G|} \s
sec_chebotarev_peter_weyl_bridge.tex	271	theorem	Main Theorem I(e): class-count trace recovery	thm:class-count-trace-recovery;thm:class-count-trace-readout;cor:class-artin-mobius-trace;eq:class-artin-mobius-trace	yes	 \label{thm:class-count-trace-recovery} \label{thm:class-count-trace-readout} \label{cor:class-artin-mobius-trace} For every conjugacy class \(C\subset G\) and every \(n\ge 1\), \begin{equation}\label{eq:class-artin-mobius-trace} p_{n,C} = \frac{|C|}{|G|\,n} \sum_{\varrho\in\Irr(G)} \chi_\varrho^\ast(C) \sum_{m\mid n}\mu(m) \sum_{\pi\in\Irr(G)} a_{\varrho,\pi}^{(m)} \Tr(A_\pi^{n/m}). \end{equation} Equivalently, after the finite character table, the conjugacy-class power maps, and the determinan
sec_chebotarev_peter_weyl_bridge.tex	356	lemma	Trivial and non-trivial class decomposition	lem:class-primitive-trivial-split	yes	 \label{lem:class-primitive-trivial-split} For every conjugacy class \(C\subset G\) and every \(n\ge 1\), \[ p_{n,C} = \frac{|C|}{|G|}p_n(A) +\frac{|C|}{|G|} \sum_{\varrho\neq\mathbf 1} \chi_\varrho^\ast(C)\,\pi_{n,\varrho}(A,\tau). \] 
sec_chebotarev_peter_weyl_bridge.tex	376	lemma	Non-trivial Peter--Weyl channel bound	lem:nontrivial-peter-weyl-channel-bound	yes	 \label{lem:nontrivial-peter-weyl-channel-bound} For every non-trivial \(\varrho\in\Irr(G)\) and every \(n\ge 1\), \[ \abs{\pi_{n,\varrho}(A,\tau)} \le \frac{|V|\,\dim\varrho\,\eta^n}{n} +\frac{|V|\,\dim\varrho}{n} \left(\sum_{\kappa\in\Irr(G)}\dim\kappa\right) \sum_{\substack{m\mid n\\ m>1}}\lambda^{n/m}, \] and therefore \[ \abs{\pi_{n,\varrho}(A,\tau)} \le \frac{|V|\,\dim\varrho\,\eta^n}{n} +\frac{|V|\,\dim\varrho}{n} \left(\sum_{\kappa\in\Irr(G)}\dim\kappa\right) \frac{\lambda^{n/2+1}}{\lamb
sec_chebotarev_peter_weyl_bridge.tex	471	lemma	Absolute convergence at the Perron point	lem:nontrivial-perron-point-convergence	yes	 \label{lem:nontrivial-perron-point-convergence} Assume \(\lambda>1\) and \(\eta<\lambda\). Then, for every non-trivial \(\varrho\in\Irr(G)\), the series \[ \Pi_\varrho(\lambda^{-1}) =\sum_{n\ge 1}\pi_{n,\varrho}(A,\tau)\lambda^{-n} \] converges absolutely. 
sec_chebotarev_peter_weyl_bridge.tex	495	lemma	Abel limit equals the ordinary correction sum	lem:abel-correction-sum	yes	 \label{lem:abel-correction-sum} Let \(A\) be a primitive non-negative matrix with Perron root \(\lambda>1\). If \[ \sum_{n\ge 1}\left|\frac{p_n(A)}{\lambda^n}-\frac{1}{n}\right| <\infty, \] then \[ \FP(A) = \sum_{n\ge 1}\left(\frac{p_n(A)}{\lambda^n}-\frac{1}{n}\right). \] Equivalently, for every \(0\le r<1\), \[ P_A(r)+\log(1-r) = \sum_{n\ge 1}\left(\frac{p_n(A)}{\lambda^n}-\frac{1}{n}\right)r^n, \] and the limit \(r\uparrow 1\) may be passed termwise. 
sec_chebotarev_peter_weyl_bridge.tex	538	lemma	Geometric-harmonic tails	lem:geometric-harmonic-tail	yes	 \label{lem:geometric-harmonic-tail} If \(0<\vartheta<1\), then for every \(N\ge 1\), \[ \sum_{n>N}\frac{\vartheta^n}{n} \le \frac{\vartheta^{N+1}}{(N+1)(1-\vartheta)}. \] In particular, if \(b_n=O(\vartheta^n/n)\), then \[ \sum_{n>N}b_n=O\!\left(\frac{\vartheta^N}{N}\right). \] 
sec_chebotarev_peter_weyl_bridge.tex	564	lemma	Harmonic-log remainder bound	lem:harmonic-log-remainder	yes	 \label{lem:harmonic-log-remainder} For every \(N\ge 1\), \[ 0 < H_N-\log N-\gamma \le \frac{1}{N+1}. \] 
sec_chebotarev_peter_weyl_bridge.tex	616	lemma	Perron-channel contribution	lem:perron-channel-contribution	yes	 \label{lem:perron-channel-contribution} Assume \(\lambda>1\), \(\eta<\lambda\), and set \[ \Lambda_*:=\max\{\Lambda(A),\eta,\lambda^{1/2}\}. \] Then \(\vartheta_*:=\Lambda_*/\lambda\in(0,1)\), and \[ \sum_{n\le N}\frac{p_n(A)}{\lambda^n} = H_N+\mathcal M(A)-\gamma +O\!\left(\frac{\vartheta_*^N}{N}\right). \] 
sec_chebotarev_class_mertens_overview.tex	55	proposition	Finite determinant dependence for Main Theorems II--III	prop:class-mertens-product-dependency-chain	yes	 \label{prop:class-mertens-product-dependency-chain} Assume the standing hypotheses for the class-Mertens theorem, namely \(\lambda>1\) and the strict twisted spectral gap \(\eta<\lambda\). Let \[ \begin{aligned} \mathfrak D(A,\tau;G)= \Bigl(&G,\{C\subset G\},(C,m)\mapsto C^m,\\ &C(A),\{\det(I-zA_\pi):\pi\in\Irr(G)\}\Bigr) \end{aligned} \] denote the finite determinant data together with the class-power table and Perron normalisation. Then the results in this subsection form the following ordere
sec_chebotarev_class_mertens_overview.tex	276	remark	Product-constant refinements		no	 Under the hypotheses of \Cref{thm:class-euler-product-mertens}, fix the scalar normalisation \(\alpha_A=\gamma+\log C(A)\) and the non-trivial Perron-boundary vector \[ \mathsf F(A,\tau;G):= \bigl(F_\varrho(\lambda^{-1})\bigr)_{\varrho\ne\mathbf1}. \] Then the hyperplane stability of \Cref{cor:class-product-hyperplane-stability}, the assembled finite determinant formula and truncation of \Cref{cor:assembled-adams-frobenius-product-formula}, the fixed-coordinate fibre corollary \Cref{cor:class-p
