# python_version	sympy_version
# 3.10.11	1.13.1
n	F_n	factorization
152	26099748102093884802012313146549	3*7*37*113*9349*29134601*1091346396980401
153	42230279526998466217810220532898	2*17^2*1597*6376021*7175323114950564593
154	68330027629092351019822533679447	13*29*89*199*229769*988681*4832521*9321929
155	110560307156090817237632754212345	5*557*2417*21701*12370533881*61182778621
156	178890334785183168257455287891792	2^4*3^2*79*233*521*859*90481*135721*12280217041
157	289450641941273985495088042104137	313*11617*7636481*10424204306491346737
158	468340976726457153752543329995929	157*92180471494753*32361122672259149
159	757791618667731139247631372100066	2*317*953*55945741*97639037*229602768949
160	1226132595394188293000174702095995	3*5*7*11*41*47*1601*2161*2207*3041*23725145626561
161	1983924214061919432247806074196061	13*8693*28657*612606107755058997065597
162	3210056809456107725247980776292056	2^3*17*19*53*109*2269*3079*4373*5779*19441*62650261
163	5193981023518027157495786850488117	977*4892609*33365519393*32566223208133
164	8404037832974134882743767626780173	3*163*2789*59369*800483*350207569*370248451
165	13598018856492162040239554477268290	2*5*61*89*661*19801*86461*474541*518101*900241
166	22002056689466296922983322104048463	35761381*6202401259*99194853094755497
167	35600075545958458963222876581316753	18104700793*1966344318693345608565721
168	57602132235424755886206198685365216	2^5*3^2*7^2*13*23*29*83*167*211*281*421*1427*14503*65740583
169	93202207781383214849429075266681969	233*337*89909*104600155609*126213229732669
170	150804340016807970735635273952047185	5*11*1597*3571*9521*1158551*12760031*3415914041
171	244006547798191185585064349218729154	2*17*37*113*797*6841*54833*5741461760879844361
172	394810887814999156320699623170776339	3*6709*144481*433494437*313195711516578281
173	638817435613190341905763972389505493	1639343785721*389678749007629271532733
174	1033628323428189498226463595560281832	2^3*59*173*349*19489*514229*947104099*3821263937
175	1672445759041379840132227567949787325	5^2*13*701*3001*141961*17231203730201189308301
176	2706074082469569338358691163510069157	3*7*43*47*89*199*263*307*881*967*93058241*562418561
177	4378519841510949178490918731459856482	2*353*2191261*805134061*1297027681*2710260697
178	7084593923980518516849609894969925639	179*1069*1665088321800481*22235502640988369
179	11463113765491467695340528626429782121	21481*156089*3418816640903898929534613769
180	18547707689471986212190138521399707760	2^4*3^3*5*11*17*19*31*41*61*107*181*541*2521*109441*10783342081
181	30010821454963453907530667147829489881	8689*422453*8175789237238547574551461093
182	48558529144435440119720805669229197641	13^2*29*233*521*741469*159607993*689667151970161
183	78569350599398894027251472817058687522	2*1097*4513*555003497*14297347971975757800833
184	127127879743834334146972278486287885163	3*7*139*461*4969*28657*253367*275449*9506372193863
185	205697230343233228174223751303346572685	5*73*149*2221*1702945513191305556907097618161
186	332825110087067562321196029789634457848	2^3*557*2417*63799*3010349*35510749*4531100550901
187	538522340430300790495419781092981030533	89*373*1597*10157807305963434099105034917037
188	871347450517368352816615810882615488381	3*563*5641*2971215073*6643838879*4632894751907
189	1409869790947669143312035591975596518914	2*13*17*53*109*421*38933*35239681*955921950316735037
190	2281217241465037496128651402858212007295	5*11*37*113*191*761*9349*29641*41611*67735001*87382901
191	3691087032412706639440686994833808526209	4870723671313*757810806256989128439975793
192	5972304273877744135569338397692020533504	2^8*3^2*7*23*47*769*1087*1103*2207*3167*4481*11862575248703
193	9663391306290450775010025392525829059713	9465278929*1020930432032326933976826008497
194	15635695580168194910579363790217849593217	193*389*3299*3084989*361040209*56678557502141579
195	25299086886458645685589389182743678652930	2*5*61*233*135721*14736206161*88999250837499877681
196	40934782466626840596168752972961528246147	3*13*29*97*281*5881*6168709*599786069*61025309469041
197	66233869353085486281758142155705206899077	15761*25795969*227150265697*717185107125886549
198	107168651819712326877926895128666735145224	2^3*17*19*89*197*199*991*2179*9901*19801*1513909*18546805133
199	173402521172797813159685037284371942044301	397*436782169201002048261171378550055269633
200	280571172992510140037611932413038677189525	3*5^2*7*11*41*101*151*401*2161*3001*570601*9125201*5738108801
201	453973694165307953197296969697410619233826	2*269*116849*1429913*5050260704396247169315999021
202	734544867157818093234908902110449296423351	809*7879*743519377*770857978613*201062946718741
203	1188518561323126046432205871807859915657177	13*1217*514229*56470541*2586982700656733994659533
204	1923063428480944139667114773918309212080528	2^4*3^2*67*409*919*1597*3469*3571*63443*6376021*66265118449
205	3111581989804070186099320645726169127737705	5*821*2789*59369*125598581*36448117857891321536401
206	5034645418285014325766435419644478339818233	619*1031*519121*5644193*512119709*5257480026438961
207	8146227408089084511865756065370647467555938	2*17*137*829*18077*28657*4072353155773627601222196481
208	13180872826374098837632191485015125807374171	3*7*47*103*233*521*3329*90481*102193207*106513889*325759201
209	21327100234463183349497947550385773274930109	37*89*113*57314120955051297736679165379998262001
210	34507973060837282187130139035400899082304280	2^3*5*11*13*29*31*61*71*211*421*911*21211*141961*767131*8288823481
