2789	proposition	prop:gate-interface-separation	Gate-interface separation	Abstract finite-record interface
2813	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Abstract finite-record interface
2861	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Abstract finite-record interface
2938	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Abstract finite-record interface
2982	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	Abstract finite-record interface
3089	theorem	thm:gate-implementation-soundness-upgrade-obstruction	Gate implementation-soundness upgrade obstruction	Abstract finite-record interface
3256	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Abstract finite-record interface
3338	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Abstract finite-record interface
3474	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Abstract finite-record interface
3580	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Abstract finite-record interface
3699	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Abstract finite-record interface
3809	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Abstract finite-record interface
3948	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Abstract finite-record interface
4012	proposition	prop:publication-safety-maximality	Finite-record maximality	Abstract finite-record interface
4056	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Abstract finite-record interface
4105	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Abstract finite-record interface
4152	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Abstract finite-record interface
4238	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	Abstract finite-record interface
4287	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade	Abstract finite-record interface
4387	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	Primary-claim inventory audit
4497	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness	Current-package instantiation
4621	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	Current-package instantiation
4700	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	Current-package instantiation
4742	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	Current-package instantiation
4835	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	Current-package instantiation
4901	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	Current-package instantiation
5011	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	Current-package instantiation
5114	lemma	lem:gate-witness-criterion	Gate-witness criterion	Case-study witness protocol
5139	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	Case-study witness protocol
5267	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	Case studies
5326	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity	Case studies
5469	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	Primary--supplement interface
5512	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	Primary--supplement interface
5556	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	Primary--supplement interface
5586	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	Primary--supplement interface
5635	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	Primary--supplement interface
5686	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	Primary--supplement interface
5757	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	Primary--supplement interface
5849	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	Primary--supplement interface
5916	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	Primary--supplement interface
5957	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	Primary--supplement interface
6032	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	Primary--supplement interface
6152	proposition	prop:artifact-validation-gate-unique-semantic-upgrade	Artifact-validation gate is the unique semantic upgrade	Primary--supplement interface
6191	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	Primary--supplement interface
6266	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	Primary--supplement interface
6331	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	Primary--supplement interface
6403	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map	Primary--supplement interface
6652	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization	Review-bundle and archive-equivalence condition
6696	theorem	thm:public-branch-archive-equivalent-realization	Public branch archive-equivalent locator criterion	Review-bundle and archive-equivalence condition
6758	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test	Review-bundle and archive-equivalence condition
6812	theorem	thm:final-support-surface-closure	Final support-surface closure	Review-bundle and archive-equivalence condition
6934	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation	Review-bundle and archive-equivalence condition
7027	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims	Review-bundle and archive-equivalence condition
7094	theorem	thm:support-surface-invariant-compression	Support-surface invariant compression	Review-bundle and archive-equivalence condition
7159	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary	Review-bundle and archive-equivalence condition
7202	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record	Review-bundle and archive-equivalence condition
7225	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records	Review-bundle and archive-equivalence condition
7269	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol	Review-bundle and archive-equivalence condition
7360	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation	Review-bundle and archive-equivalence condition
7413	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state	Review-bundle and archive-equivalence condition
7445	theorem	thm:digest-closure-refresh-criterion	Digest-closure refresh criterion for final package claims	Review-bundle and archive-equivalence condition
7514	theorem	thm:submission-support-refresh-rigidity	Submission support refresh rigidity	Review-bundle and archive-equivalence condition
7586	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support	Review-bundle and archive-equivalence condition
7652	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary	Review-bundle and archive-equivalence condition
7699	theorem	thm:extractor-domain-exactness-non-gluing	Extractor-domain exactness and non-gluing	Review-bundle and archive-equivalence condition
7760	theorem	thm:final-byte-extractor-inventory-inclusion	Final-byte extractor inventory inclusion	Review-bundle and archive-equivalence condition
7830	theorem	thm:theorem-inventory-proofchecker-obstruction	Theorem-inventory proof-checker obstruction	Review-bundle and archive-equivalence condition
7878	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary	Review-bundle and archive-equivalence condition
7930	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure	Review-bundle and archive-equivalence condition
7979	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance	Review-bundle and archive-equivalence condition
8015	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate	Review-bundle and archive-equivalence condition
8072	theorem	thm:post-inventory-finite-record-realization	Post-inventory finite-record realization	Review-bundle and archive-equivalence condition
8137	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration	Review-bundle and archive-equivalence condition
8209	proposition	prop:post-inventory-support-tuple-extraction-certificate	Post-inventory support-tuple extraction certificate	Review-bundle and archive-equivalence condition
8251	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability	Review-bundle and archive-equivalence condition
8277	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form	Review-bundle and archive-equivalence condition
8333	corollary	cor:current-local-support-normal-form	Current local-support normal form	Review-bundle and archive-equivalence condition
8388	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition	Review-bundle and archive-equivalence condition
8442	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary	Review-bundle and archive-equivalence condition
8473	theorem	thm:finite-row-case-evidence-closure	Finite-row closure of case evidence	Review-bundle and archive-equivalence condition
8526	corollary	cor:current-case-behaviour-evidence-criterion	Current case-behaviour evidence criterion	Review-bundle and archive-equivalence condition
8583	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory	Command-run boundary
8676	theorem	thm:post-edit-rerun-metadata-gate	Post-edit rerun metadata gate	Command-run boundary
8718	theorem	thm:final-local-support-state-reconciliation	Final four-interface maximality and support-state reconciliation	Command-run boundary
8866	theorem	thm:presentation-route-five-interface-sharpness	Presentation-route five-interface sharpness	Command-run boundary
9014	theorem	thm:presentation-route-stronger-reading-classifier	Presentation-route stronger-reading classifier	Command-run boundary
9127	corollary	cor:presentation-summary-non-escalation	Presentation-summary non-escalation	Command-run boundary
9187	theorem	thm:submission-support-fixed-point-normal-form	Machine-checkable support-coordinate fixed-point normal form	Command-run boundary
9255	theorem	thm:post-inventory-support-coordinate-dichotomy	Post-inventory support-coordinate dichotomy	Command-run boundary
9311	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation	Command-run boundary
9357	theorem	thm:post-inventory-package-fixed-point	Post-inventory support-coordinate fixed point	Command-run boundary
9456	corollary	cor:current-post-inventory-realization	Current post-inventory realization	Command-run boundary
9493	theorem	thm:current-inventory-artifact-realization	Current inventory support-coordinate realization	Command-run boundary
9585	theorem	thm:current-command-result-closure	Current command-result closure	Command-run boundary
9631	corollary	cor:current-post-inventory-support-tuple-instantiation	Current post-inventory support tuple instantiation	Command-run boundary
9679	corollary	cor:stable-replay-post-inventory-tuple	Byte-level stable replay criterion for the post-inventory tuple	Command-run boundary
9728	proposition	prop:post-inventory-freshness-obstruction	Post-inventory freshness obstruction	Command-run boundary
9768	proposition	prop:three-coordinate-submission-support-closure	Three-coordinate submission-support closure	Command-run boundary
9833	corollary	cor:local-fixed-point-external-boundary	Local fixed point and external-support boundary	Command-run boundary
9884	proposition	prop:current-absence-external-support-surface-instantiation	Current absence of external support-surface instantiation	Command-run boundary
9941	theorem	thm:four-coordinate-submission-support-skeleton	Four-coordinate submission-support skeleton	Command-run boundary
