### main.tex
2982-3087	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness
3089-3110	theorem	thm:gate-implementation-soundness-upgrade-obstruction	Gate implementation-soundness upgrade obstruction
3256-3285	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity
3338-3393	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation
3474-3520	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton
3580-3629	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package
3699-3747	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction
3809-3880	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound
3948-3976	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor
4012-4031	proposition	prop:publication-safety-maximality	Finite-record maximality
4056-4080	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance
4105-4119	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness
4152-4188	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings
4238-4258	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy
4287-4315	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade
4387-4426	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger
4497-4553	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness
4621-4643	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary
4700-4716	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance
4742-4778	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity
4835-4860	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation
4901-4948	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification
5011-5042	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation
5114-5125	lemma	lem:gate-witness-criterion	Gate-witness criterion
5139-5163	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses
5267-5285	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage
5326-5357	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity
5469-5490	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion
5512-5528	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation
5556-5570	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation
5586-5610	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement
5635-5652	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation
5686-5706	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate
5757-5767	proposition	audit:submission-artifact-role-separation	Submission artifact role separation
5849-5872	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation
5916-5927	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction
5957-5982	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction
6032-6089	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface
6152-6165	proposition	prop:artifact-validation-gate-unique-semantic-upgrade	Artifact-validation gate is the unique semantic upgrade
6191-6221	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses
6266-6282	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification
6331-6369	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion
6403-6415	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map
6652-6665	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization
6696-6715	theorem	thm:public-branch-archive-equivalent-realization	Public branch archive-equivalent locator criterion
6758-6780	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test
6812-6831	theorem	thm:final-support-surface-closure	Final support-surface closure
6934-6960	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation
7027-7053	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims
7094-7125	theorem	thm:support-surface-invariant-compression	Support-surface invariant compression
7159-7177	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary
7202-7213	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record
7225-7240	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records
7269-7314	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol
7360-7385	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation
7413-7424	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state
7445-7474	theorem	thm:digest-closure-refresh-criterion	Digest-closure refresh criterion for final package claims
7514-7537	theorem	thm:submission-support-refresh-rigidity	Submission support refresh rigidity
7586-7601	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support
7652-7669	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary
7699-7719	theorem	thm:extractor-domain-exactness-non-gluing	Extractor-domain exactness and non-gluing
7760-7785	theorem	thm:final-byte-extractor-inventory-inclusion	Final-byte extractor inventory inclusion
7830-7846	theorem	thm:theorem-inventory-proofchecker-obstruction	Theorem-inventory proof-checker obstruction
7878-7899	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary
7930-7948	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure
7979-7991	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance
8015-8035	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate
8072-8097	theorem	thm:post-inventory-finite-record-realization	Post-inventory finite-record realization
8137-8164	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration
8209-8222	proposition	prop:post-inventory-support-tuple-extraction-certificate	Post-inventory support-tuple extraction certificate
8251-8261	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability
8277-8304	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form
8333-8351	corollary	cor:current-local-support-normal-form	Current local-support normal form
8388-8409	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition
8442-8453	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary
8473-8491	theorem	thm:finite-row-case-evidence-closure	Finite-row closure of case evidence
8526-8536	corollary	cor:current-case-behaviour-evidence-criterion	Current case-behaviour evidence criterion
8583-8605	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory
8676-8691	theorem	thm:post-edit-rerun-metadata-gate	Post-edit rerun metadata gate
8718-8773	theorem	thm:final-local-support-state-reconciliation	Final four-interface maximality and support-state reconciliation
8866-8933	theorem	thm:presentation-route-five-interface-sharpness	Presentation-route five-interface sharpness
9014-9055	theorem	thm:presentation-route-stronger-reading-classifier	Presentation-route stronger-reading classifier
9127-9149	corollary	cor:presentation-summary-non-escalation	Presentation-summary non-escalation
9187-9217	theorem	thm:submission-support-fixed-point-normal-form	Machine-checkable support-coordinate fixed-point normal form
9255-9272	theorem	thm:post-inventory-support-coordinate-dichotomy	Post-inventory support-coordinate dichotomy
9311-9326	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation
9357-9393	theorem	thm:post-inventory-package-fixed-point	Post-inventory support-coordinate fixed point
9456-9471	corollary	cor:current-post-inventory-realization	Current post-inventory realization
9493-9537	theorem	thm:current-inventory-artifact-realization	Current inventory support-coordinate realization
9585-9602	theorem	thm:current-command-result-closure	Current command-result closure
9631-9647	corollary	cor:current-post-inventory-support-tuple-instantiation	Current post-inventory support tuple instantiation
9679-9697	corollary	cor:stable-replay-post-inventory-tuple	Byte-level stable replay criterion for the post-inventory tuple
9728-9742	proposition	prop:post-inventory-freshness-obstruction	Post-inventory freshness obstruction
9768-9787	proposition	prop:three-coordinate-submission-support-closure	Three-coordinate submission-support closure
9833-9852	corollary	cor:local-fixed-point-external-boundary	Local fixed point and external-support boundary
9884-9904	proposition	prop:current-absence-external-support-surface-instantiation	Current absence of external support-surface instantiation
9941-9975	theorem	thm:four-coordinate-submission-support-skeleton	Four-coordinate submission-support skeleton
### submission_abstract.tex
