"Line","Kind","Title","Section"
"6041","corollary","Upload-time venue-compliance record requirement","Evidence boundary"
"6090","proposition","Dated venue-record instantiation","Evidence boundary"
"6141","proposition","Venue-submission pack gate","Evidence boundary"
"6212","proposition","Submission artifact role separation","Evidence boundary"
"6304","proposition","Formal-source gate instantiation","Evidence boundary"
"6371","theorem","Formal-source promotion obstruction","Evidence boundary"
"6412","theorem","Evidence-level overclaim obstruction","Evidence boundary"
"6487","theorem","Finite-witness manifest-bounded record interface","Evidence boundary"
"6607","proposition","Artifact-validation gate is the unique semantic upgrade","Evidence boundary"
"6646","corollary","Artifact semantic-validity boundary for finite witnesses","Evidence boundary"
"6721","theorem","Three-boundary upgrade sharpness","Evidence boundary"
"6846","theorem","Primary-to-support dependency completeness","Evidence boundary"
"6914","proposition","Primary-claim conditional inventory-audit classification","Evidence boundary"
"6979","proposition","Primary-inventory freshness criterion","Evidence boundary"
"7051","proposition","Primary--supplement interface map","Evidence boundary"
"7136","SUBSECTION","Subordinate support-boundary ledger",""
"7298","theorem","Finite-record support invariant: exact-inclusion support surface","Evidence boundary"
"7342","theorem","Finite-record support invariant: public branch locator criterion","Evidence boundary"
"7404","corollary","Submission-time support instantiation test","Evidence boundary"
"7458","theorem","Finite-record support invariant: final support-surface closure","Evidence boundary"
"7582","theorem","Workspace-to-final-package reconciliation","Evidence boundary"
"7675","theorem","Finite-record support invariant: bundle-backed normal form","Evidence boundary"
"7742","theorem","Finite-record support invariant compression","Evidence boundary"
"7807","theorem","Finite-record upload-boundary invariant","Evidence boundary"
"7850","corollary","Upload-or-archive instantiation record","Evidence boundary"
"7873","proposition","No external instantiation from local bundle records","Evidence boundary"
"7915","proposition","Upload-or-archive instantiation update protocol","Evidence boundary"
"8004","corollary","Current no-receipt support-surface non-escalation","Evidence boundary"
"8057","corollary","Fresh inventory digest instance for this source state","Evidence boundary"
"8089","theorem","Finite-record digest-refresh invariant for final package claims","Evidence boundary"
"8158","theorem","Finite-record submission-support refresh invariant","Evidence boundary"
"8230","proposition","Primary architectural fallback without external support","Evidence boundary"
"8296","theorem","Deterministic theorem-environment extractor boundary","Evidence boundary"
"8343","theorem","Extractor-domain exactness and non-gluing","Evidence boundary"
"8404","theorem","Final-byte extractor inventory inclusion","Evidence boundary"
"8474","theorem","Theorem-inventory proof-checker obstruction","Evidence boundary"
"8522","theorem","Theorem-inventory boundary","Evidence boundary"
"8574","proposition","Regenerated theorem-inventory digest closure","Evidence boundary"
"8623","corollary","Current theorem-inventory digest instance","Evidence boundary"
"8659","proposition","Post-inventory fixed-point support certificate","Evidence boundary"
"8716","theorem","Finite-record post-inventory realization invariant","Evidence boundary"
"8796","theorem","Seven-row submitted theorem-obligation ledger integration","Evidence boundary"
"8868","proposition","Post-inventory support-tuple extraction certificate","Evidence boundary"
"8910","proposition","Submitted theorem-inventory availability","Evidence boundary"
"8936","proposition","Submission-support instantiation field normal form","Evidence boundary"
"8992","corollary","Current local-support normal form","Evidence boundary"
"9047","proposition","Review-bundle availability condition","Evidence boundary"
"9101","proposition","Case-snapshot non-rerun boundary","Evidence boundary"
"9132","theorem","Finite-row closure of case evidence","Evidence boundary"
"9185","corollary","Current case-behaviour evidence criterion","Evidence boundary"
"9243","SUBSECTION","Command-run boundary",""
"9245","proposition","Command-run boundary inventory","Evidence boundary"
"9338","theorem","Post-edit rerun metadata gate","Evidence boundary"
"9380","theorem","Finite-record support-state reconciliation invariant","Evidence boundary"
"9528","theorem","Supplement-level presentation-route five-interface sharpness","Evidence boundary"
"9676","theorem","Supplement-level presentation-route stronger-reading classifier","Evidence boundary"
"9789","theorem","End-to-end upgrade decomposition obstruction","Evidence boundary"
"9854","corollary","Presentation-summary non-escalation","Evidence boundary"
"9914","theorem","Finite-record support-coordinate fixed-point normal form","Evidence boundary"
"9982","theorem","Finite-record post-inventory support-coordinate dichotomy","Evidence boundary"
"10038","proposition","Final refreshed-coordinate instantiation","Evidence boundary"
"10087","theorem","Finite-record post-inventory support-coordinate fixed point","Evidence boundary"
"10186","corollary","Current post-inventory realization","Evidence boundary"
"10223","theorem","Finite-record current inventory support-coordinate realization","Evidence boundary"
"10315","theorem","Finite-record current command-result closure","Evidence boundary"
"10361","corollary","Current post-inventory support tuple instantiation","Evidence boundary"
"10413","proposition","Current round-six verifier and support-coordinate realization","Evidence boundary"
"10470","corollary","Byte-level stable replay criterion for the post-inventory tuple","Evidence boundary"
"10519","proposition","Post-inventory freshness obstruction","Evidence boundary"
"10559","proposition","Three-coordinate submission-support closure","Evidence boundary"
"10624","corollary","Local fixed point and external-support boundary","Evidence boundary"
"10675","proposition","Current absence of external support-surface instantiation","Evidence boundary"
"10732","proposition","Final support-coordinate refresh closure","Evidence boundary"
"10791","corollary","Manifest-required theorem-inventory fixed point","Evidence boundary"
"10839","theorem","Finite-record four-coordinate submission-support skeleton","Evidence boundary"
"10950","corollary","Final local fixed-point and external-support normal form","Evidence boundary"
"11012","proposition","Accepted-byte post-inventory support coordinate","Evidence boundary"
"11101","theorem","Finite-record current-package no-free-upgrade closure","Evidence boundary"
"11250","theorem","Terminal five-coordinate closure for the presentation package","Evidence boundary"
"11324","theorem","Five-issue coordinate normal form","Evidence boundary"
"11398","proposition","Round-seven support-coordinate closure","Evidence boundary"
"11478","theorem","Presentation weak-interface maximality","Evidence boundary"
"11560","theorem","Stage--A2 round-three issue-coordinate discharge","Evidence boundary"
"11614","proposition","Exact Stage--A2 issue skeleton","Evidence boundary"
"11685","proposition","Round-four external-coordinate admissibility trichotomy","Evidence boundary"
"11769","corollary","Round-four manuscript reading","Evidence boundary"
"11796","corollary","Round-three support-chain closure","Evidence boundary"
"11826","corollary","Presentation-route support-coordinate normal form","Evidence boundary"
"11928","SECTION","Conclusion and support-boundary summary",""
