line	end	env	label	title	section	hasproof	summary
896	926	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	subsection: Abstract finite-record interface	False	The external record-gate interface for a package is the finite predicate \[ RGS_{S}(P,L,) \] with the following inputs and outputs. Its inputs are exactly a package P, a submitted support surface S, a finite acceptance ledger L, and the deterministic claim-kind dispatch table of Definition~def:operational-acceptance-interface. Its positive output is the finite family of certificates \[ \{ C(c)=(K,,E,H,R,D,B): c L is 
928	940	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	subsection: Abstract finite-record interface	True	For the operational acceptance interface of Definition~def:operational-acceptance-interface, the standalone interface in Definition~def:record-gate-soundness-external-interface is equivalent to the predicate RGS_{S}(P,L,) used in the publication-safety theorem. Moreover, under this interface every consequence used by Theorem~thm:publication-safety-interface is determined by the finite coordinates (P,S,L,) and by the 
972	994	definition	def:stronger-reading-preorder	Stronger-reading preorder	subsection: Abstract finite-record interface	False	Fix the dispatch table and certificate tuple C(c)=(K,,E,H,R,D,B) of Definition~def:operational-acceptance-interface. A proposed reading c^{+} of the same prose claim is record-stronger than c, written c_{} c^{+}, if at least one of the following finite coordinates is strictly enlarged while the others are unchanged or enlarged: the claim-kind set K; the evidence level, from path to command; the evidence surface E; th
996	1034	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	subsection: Abstract finite-record interface	False	Fix the seven-kind dispatch table of Definition~def:operational-acceptance-interface. The verifier input for a load-bearing claim c is the following finite record type: \[ C(c)= \{K,,E,H,R,D,B\}. \] Its typed fields are these and only these: K is a finite set of claim kinds; \{path,command\} is the declared evidence level; E is a finite evidence-surface list; H is the route-boundary field; R is a finite family of gat
1036	1056	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	subsection: Abstract finite-record interface	True	For every load-bearing manuscript claim c whose component kinds lie in the seven-kind domain, V(c, C) is a finite, prose-insensitive record-schema verifier for the declared publication certificate. The submitted package instantiates V by the script review_bundle/verify_certificate_records.py. On the positive package input it reads the schema file, pass-record ledger, submission-interface map, primary-claim inventory,
1102	1136	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	subsection: Abstract finite-record interface	True	The verifier interface used by the publication-safety theorem is exactly the following finite mathematical-software contract. Its input is a pair (c, C(c)), where c is a load-bearing manuscript claim and \( C(c)=(K,,E,H,R,D,B)\) is the certificate record of Definition~def:certificate-schema-acceptance-table, together with the fixed dispatch table and the submitted support surface S. Its checked predicates and outputs
1169	1194	theorem	thm:record-acceptance-exactness	Schema-relative finite-record acceptance exactness	subsection: Abstract finite-record interface	True	Fix the seven-kind dispatch table , the two evidence levels, and the typed certificate tuple C(c)=(K,,E,H,R,D,B) of Definition~def:certificate-schema-acceptance-table. For every load-bearing claim c and every finite candidate certificate C(c), the finite verifier V of Definition~def:operational-acceptance-interface and Theorem~thm:verifier-input-output-contract accepts C(c) if and only if the six-clause table predica
1229	1246	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	subsection: Abstract finite-record interface	True	Under the hypotheses and fixed schema of Theorem~thm:record-acceptance-exactness, the executable verifier instance review_bundle/verify_certificate_records.py is a finite witness of the same schema-relative relation, not an additional semantic oracle. On the positive submitted package it can witness exactly the records satisfying \(Acc_{}\) at their declared evidence levels. On the negative fixture review_bundle/nega
1268	1289	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	subsection: Abstract finite-record interface	True	Fix the dispatch table and the verifier V. Let F_{} be the finite schema projection read by V from a certificate record, namely the claim-kind set, declared evidence level, evidence surface, promotion field, gate-pass rows, discovery-source rows, command-boundary tuple, and the assigned gate set determined by . If two ambient pipeline or artifact states induce the same values of all coordinates in F_{} for a claim c,
1330	1360	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	subsection: Abstract finite-record interface	True	For the current presentation package, the finite record checker V of Proposition~prop:finite-certificate-schema-verifier, with the record-acceptance semantics of Theorem~thm:record-acceptance-exactness, has an executable record-level instance over the review bundle, conditional on exact supplemental inclusion of review_bundle/ in the completed submission with matching final digests, as stated in Proposition~audit:rev
1432	1455	theorem	thm:executable-record-non-escalation	Executable record non-escalation	subsection: Abstract finite-record interface	True	Let F be the finite field projection read by review_bundle/verify_certificate_records.py: manifest-field presence, entries a_1--a_6, claim-kind membership, evidence-level membership, assigned-gate coverage, pass-record fields, evidence-level agreement, discovery-field discipline, path-verified boundary status, row locks for sim1--sim4, and row-class locks for pc1--pc12. Assuming the exact-or-archive-equivalent review
1490	1514	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	subsection: Abstract finite-record interface	True	For the submitted review bundle, let G be the union of the finite fields read by the two executable verifiers review_bundle/verify_source_interface_record.py and review_bundle/verify_certificate_records.py. Thus G contains the ten source-interface table triples, the JSON source-interface records, the pinned source snapshot path, digest, line count, declared source commit and line ranges, the six current-package pass-
1558	1565	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	subsection: Abstract finite-record interface	True	For every load-bearing manuscript claim whose kind lies in the seven-kind domain above, assigns a unique finite set of deterministic gates. In a pipeline that is record-gate-sound for acceptance, a mixed load-bearing claim may be used as accepted work only if its acceptance entry records passage through every gate in the union assigned to its component kinds.
1579	1609	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	subsection: Abstract finite-record interface	True	Let c be a load-bearing mixed claim with nonempty component-kind set KDom() and submitted candidate certificate C(c)=(K,,E,H,R,D,B). For a nonempty subset J K, write \[ G_J=_{k J}(k) \] and let c_J denote the projected reading of c that keeps exactly the claim-kind components in J and keeps the same declared evidence level, evidence surface, promotion boundary, and command boundary, except that the discovery field is
1642	1673	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script implementation soundness	subsection: Abstract finite-record interface	True	Let S be the submitted support surface containing review_bundle/certificate_schema.json, review_bundle/current_package_pass_records.json, review_bundle/submission_interface_map.json, review_bundle/primary_claim_inventory.json, source_interface_record.json, review_bundle/REVIEW_BUNDLE_MANIFEST.json, the bundled pinned source snapshot, and theorem_inventory.json. Let V be the four-script family consisting of review_bun
1716	1719	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script record-gate instantiation boundary	subsection: Abstract finite-record interface	True	Assume the hypotheses of Theorem~thm:concrete-finite-script-implementation-soundness and suppose the submitted command-run records for the four named scripts have exit code 0. Then the implementation-soundness extension coordinate required by Theorem~thm:assigned-gate-soundness-audit-boundary is instantiated for exactly the finite predicates printed by those scripts. Consequently Theorem~thm:publication-safety-interf
1726	1755	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	subsection: Abstract finite-record interface	True	Let P be a finite submitted package with pass-record ledger L, dispatch table , and submitted support surface S. For a load-bearing claim c, write G(c)=_{k K(c)}(k) for the finite set of gates assigned to its claim-kind set. The package may use a ledger row for c as a sound record-gate witness only through the finite predicate RGS_{S}(P,L,) of Definition~def:operational-acceptance-interface. Equivalently, the availab
1795	1819	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	subsection: Abstract finite-record interface	True	Let c be a load-bearing manuscript claim whose component kinds lie in the seven-kind domain. The verifier of Proposition~prop:finite-certificate-schema-verifier gives the following complete audit classification at the declared evidence level. A certificate for c passes the publication-safety interface if and only if it has no bad subrecord of the following five types: missing evidence surface for the declared evidenc
1896	1934	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	subsection: Abstract finite-record interface	True	Fix the dispatch table , the finite certificate schema, and an accepted finite certificate \( C(c)=(K,,E,H,R,D,B)\) for a load-bearing package claim c. Let c^{+} be a proposed stronger reading of the same row which is not record-equivalent to c in the sense of Theorem~thm:finite-coordinate-determination-boundary. Then c^{+} is accepted by the publication-safety interface if and only if the submitted finite record sur
1983	1988	proposition	prop:gate-interface-separation	Gate-interface separation	subsection: Abstract finite-record interface	True	The promotion, overlap, submission-state, and theorem-content delta gates are separate deterministic interfaces. None can be replaced by passage of another one when a load-bearing claim has the corresponding component.
2007	2025	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	subsection: Abstract finite-record interface	True	In the operational interface of Definition~def:operational-acceptance-interface, a human-promotion record and daemon-visible active-paper markers are not interchangeable certificate fields. More precisely, let c be any route-boundary claim whose accepted certificate is C(c)=(K,,E,H,R,D,B). The certificate may be read as saying that a candidate is admitted to the publication-facing package only when the promotion fiel
2055	2068	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	subsection: Abstract finite-record interface	True	Let s be a scheduler or critical-path score attached to a candidate claim c. If s recommends selecting c, then the recommendation is a work-selection claim and by itself can only pass the scheduler gate. If c is also asserted to be a discovery or classifier-shifting contribution in a record-gate-sound pipeline, then the accepted mixed claim must pass both the scheduler gate and the discovery gate. Consequently, criti
2130	2146	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	subsection: Abstract finite-record interface	True	In the operational interface of Definition~def:operational-acceptance-interface, let r be a submitted claim record whose claim-kind set is \{route\}, whose evidence level is declared to be command-run, and whose boundary field contains no command-run tuple (command,source state,environment,exit code, log path). Suppose all other route coordinates of r are filled: there is an evidence pointer, a human-promotion marker
2174	2257	theorem	thm:publication-safety-interface	Conditional finite-record safety interface under record-gate soundness	subsection: Abstract finite-record interface	True	Consider a theory-to-paper pipeline with the operational interface above and a finite submitted record surface consisting only of the manuscript source, printed tables, submitted manifests, uploaded review-bundle records, recorded logs, and explicitly declared historical boundaries. Assume the following four distinct finite-record hypotheses. Acceptance entries: every load-bearing claim in an active manuscript is eit
2358	2387	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	subsection: Abstract finite-record interface	True	Fix the finite submitted record surface S, acceptance ledger L, dispatch table , and schema verifier V used in Theorem~thm:publication-safety-interface. Assume the same record-gate soundness and source-interface hypotheses as that theorem. For every accepted load-bearing claim c with certificate \( C(c)=(K,,E,H,R,D,B)\), the following are equivalent for a properly stronger reading c^{+} in the preorder of Definition~
2440	2490	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	subsection: Abstract finite-record interface	True	Assume the hypotheses of Theorem~thm:publication-safety-interface, and let \(c\) be any load-bearing claim accepted by the finite certificate constructed there. The following five stronger readings of \(c\), when they are not already record-equivalent to \(c\), are accepted by the same publication-safety interface if and only if the submitted finite support surface contains the indicated positive extension coordinate
2561	2606	theorem	thm:presentation-scoped-boundary-normal-form	Scoped boundary normal form for the presentation package	subsection: Abstract finite-record interface	True	Assume the submitted package is evaluated only through the finite-record interface of Theorem~thm:publication-safety-interface. Then every accepted load-bearing claim using one of the five interface components below has the stated maximal bounded reading, and every strictly stronger reading has the indicated unpaid obstruction unless the submitted surface is enlarged by a fresh finite coordinate and its assigned pass
2688	2716	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	subsection: Abstract finite-record interface	True	Assume the four finite-record hypotheses of Theorem~thm:publication-safety-interface. For every ledger row \(c\) there is a deterministic partial constructor \[ Cert_{}(c)=(K,,E,H,R,D,B) \] and a deterministic extractor \(Bad_{}(c)\) with the following properties. \(Cert_{}(c)\) is defined and accepted if and only if the six-clause predicate \(Acc_{}(c,Cert_{}(c))\) holds. If \(Cert_{}(c)\) is rejected, then \(Bad_{}
2752	2769	proposition	prop:publication-safety-maximality	Finite-record maximality	subsection: Abstract finite-record interface	True	Under the hypotheses of Theorem~thm:publication-safety-interface, the constructed certificate is maximal with respect to the finite submitted record surface. More precisely, let c be an accepted load-bearing claim and let Cert_{}(c)=(K,,E,H,R,D,B) be the certificate constructed in that theorem. If a stronger reading c^{+} asserts any external end-to-end compiler correctness, current execution of unrecorded gates, pro
2794	2814	corollary	cor:publication-safety-current-package-instance	Current-package source-level instance of the safety interface	subsection: Abstract finite-record interface	True	For the current package, assume the support-surface condition later closed by Theorem~thm:final-support-surface-closure: the exact supplemental review_bundle/ directory is uploaded with the submission, or an archive-equivalent replacement with matching final digest records is supplied. Under that explicit availability condition, the finite pass-row components of the hypotheses of Theorem~thm:publication-safety-interf
2836	2850	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	subsection: Abstract finite-record interface	True	Under the hypotheses of the finite-record interface theorem, Theorem~thm:publication-safety-interface, the publication-safety conclusion is invariant under replacement of the surrounding implementation by any other implementation with the same submitted acceptance entries, evidence surfaces, promotion fields, discovery-interface rows, and evidence-level boundaries. Therefore the theorem cannot be used, without an add
2883	2919	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	subsection: Abstract finite-record interface	True	Fix the dispatch table and the finite certificate schema of Proposition~prop:finite-certificate-schema-verifier. A reading of a load-bearing package claim as an implementation-soundness claim is accepted by the same publication-safety interface if and only if the submitted finite record surface is enlarged by an implementation-soundness extension record \[ Impl(c)=(K^{impl},E^{impl},R^{impl},B^{impl}) \] with the fol
3007	3046	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	subsection: Primary-claim inventory audit	True	Let P^{+} be the finite current package consisting of the primary source submission_abstract.tex, this supplement main.tex, and, under the exact-or-archive-equivalent support-surface condition of Proposition~audit:review-bundle-availability-condition, review_bundle/REVIEW_BUNDLE_MANIFEST.json, together with review_bundle/certificate_schema.json, review_bundle/current_package_pass_records.json, review_bundle/submissio
3117	3162	theorem	thm:current-package-certificate-exactness	Current-package schema-relative finite-record certificate exactness	subsection: Current-package instantiation	True	For the six-row finite current-package state P^{+}_{6} of Proposition~prop:current-package-acceptance-certificate-ledger, assume the support-surface availability condition of Theorem~thm:final-support-surface-closure: the submitted supplemental material contains the exact review_bundle/ directory with review_bundle/FINAL_DIGESTS_SHA256.md, with refreshed digest rows and rerun finite-verifier logs for every named bund
3230	3252	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	subsection: Current-package instantiation	True	For the current package, the exactness assertions in Proposition~prop:current-package-acceptance-certificate-ledger, Theorem~thm:current-package-certificate-exactness, and Theorem~thm:theorem-obligation-ledger-boundary are exactly finite-record claims over the displayed ledger rows, the submitted theorem-obligation inventory, and the syntactic theorem-environment extractor certificate of Theorem~thm:deterministic-the
3309	3325	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	subsection: Current-package instantiation	True	Under the support-surface hypotheses of Theorem~thm:current-package-certificate-exactness, the current-package acceptance decision factors through the six displayed rows \(a_1,,a_6\) and their certificate fields only. Any two ambient repository, daemon, artifact, or venue states that induce the same six tuples \( C(a_i)=(K_i,_i,E_i,H_i,R_i,D_i,B_i)\), the same submitted support surface, and the same verifier log path
3351	3386	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	subsection: Current-package instantiation	True	Assume the support-surface hypotheses of Theorem~thm:current-package-certificate-exactness. Let \(P^{+}_{6}\) be the accepted six-row current-package state and let \(F_{6}\) be its finite schema projection: the row identifiers \(a_1,,a_6\), their tuples \( C(a_i)=(K_i,_i,E_i,H_i,R_i,D_i,B_i)\), the submitted support surface, the fixed dispatch table, and the recorded verifier log. Then \(F_{6}\) is the largest curren
3443	3468	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	subsection: Current-package instantiation	True	Let P^{+}_{6} be the six-row current-package state of Theorem~thm:current-package-certificate-exactness, and assume the same support-surface availability condition. For each accepted row a_i with certificate \( C(a_i)=(K_i,_i,E_i,H_i,R_i,D_i,B_i)\), the following are equivalent for any proposed stronger reading a_i^{+} of the same manuscript row. a_i^{+} is accepted by the finite-record safety interface for the curre
3509	3540	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	subsection: Current-package instantiation	True	For the current presentation package, let P be the finite package consisting of the primary source submission_abstract.tex, this supplement main.tex, and the exact-or-archive-equivalent review-bundle support surface of Proposition~audit:review-bundle-availability-condition, together with the executable certificate records named in Proposition~prop:machine-readable-certificate-records. Root-level workflow diagnostic f
3612	3623	lemma	lem:gate-witness-criterion	Gate-witness criterion	subsection: Case-study witness protocol	True	A case record is a historical path-verified witness for the safety interface when it names the source or artifact snapshot surface, the invariant that failed, the gate decision recorded for that snapshot, and the safe manuscript lesson. Under the finite-record interface theorem, Theorem~thm:publication-safety-interface, such a witness can support a case-study claim about the recorded historical gate surface, but not 
3637	3661	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	subsection: Case-study witness protocol	True	Suppose a case-study row is used as load-bearing evidence for the finite-record interface theorem, Theorem~thm:publication-safety-interface. If the row is path-complete in the sense above, then the row supplies exactly the evidence surface required for a path-verified historical snapshot case claim and no evidence surface for a fresh daemon, full-source, theorem-content, artifact-suite, benchmark, or semantic-substra
3765	3783	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	section: Case studies	True	For the four case-study rows in Table~tab:case-witnesses, the review bundle contains a finite external-review surface for every local case path used by the paper. The Newmath block has two local paths, the upper-fibers block has five local paths, the fake-extension block has two local paths, and the Rule110 block has four local paths, for thirteen local-path strings after resolving this paper's relative ARTIFACT_INVE
3824	3854	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity	section: Case studies	True	Let \(r\) be one of the four case-study rows in Table~tab:case-witnesses, and assume the path-completeness and review-bundle coverage conclusions of Propositions~prop:path-complete-case-witnesses and prop:review-bundle-case-snapshot-coverage. Then the accepted information carried by \(r\) is exactly one of the following four skeleton lessons: a promotion skeleton: an intake packet is not daemon-visible publication wo
3962	3981	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	subsection: Primary--supplement interface	True	Assume that the final submitted support surface contains either the venue-check record VENUE_CHECK.md and log VENUE_CHECK_RUN_2026-06-04.log, the later local-date rerun log review_bundle/VENUE_BIBLIOGRAPHY_LIVE_CHECK_2026-06-06.log, or an archive-equivalent replacement naming the same checked URLs, observation time, route rules, command result, source state, environment, exit code, and log path. Then the venue row of
4003	4017	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	subsection: Primary--supplement interface	True	Let U be the finite dated venue record consisting of the official call URL, the submission-form URL, the style-guideline URL, the observation date and time, the HTTP-status run witness VENUE_CHECK_RUN_2026-06-04.log or the later rerun witness review_bundle/VENUE_BIBLIOGRAPHY_LIVE_CHECK_2026-06-06.log, the observed route class, page limit, proceedings boundary, deadline, supplement access rule, and the local witness r
4045	4058	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	subsection: Primary--supplement interface	True	The venue check recorded at VENUE_CHECK_RUN_2026-06-04.log, with local observation time 2026-06-04 10:15 Asia/Singapore, is a historical venue record. For the present post-2026-06-04 source state it is superseded, for local readiness only, by the rerun log review_bundle/VENUE_BIBLIOGRAPHY_LIVE_CHECK_2026-06-06.log, whose local observation time is 2026-06-06 13:48:33 Asia/Singapore and whose exit code is 0. Neither da
4074	4094	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	subsection: Primary--supplement interface	True	The logs VENUE_CHECK_RUN_2026-06-04.log and review_bundle/VENUE_BIBLIOGRAPHY_LIVE_CHECK_2026-06-06.log are dated local-readiness records. For the current package they certify only the venue rule state observed at their recorded observation times. They do not certify upload-time EasyChair compliance unless the final submitted support surface also contains either a later upload-time venue/bibliography record with the s
4117	4132	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	subsection: Primary--supplement interface	True	The file review_bundle/VENUE_BIBLIOGRAPHY_LIVE_CHECK_2026-06-06.log instantiates the dated local-readiness branch required by Corollary~cor:upload-time-venue-compliance-record-requirement. Its finite fields are the command PowerShell Invoke-WebRequest against CICM route pages and bibliography authority pages, environment Windows PowerShell 5.1 from paper directory; network enabled, source state current working tree f
4166	4182	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	subsection: Primary--supplement interface	True	Assume that, at final upload time, the CICM presentation-only call still has the venue rules listed in Table~tab:venue-submission-pack-gate, as certified by the fresh finite record required in Theorem~thm:venue-rule-freshness-non-escalation. Then the current package is submission-pack ready for this route exactly when the finite gate in that table passes: the primary artifact is the two-page-plus-bibliography source 
4228	4238	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	subsection: Primary--supplement interface	True	For the current presentation-only route, the primary artifact, long technical supplement, and review bundle have distinct review roles. The primary source submission_abstract.tex states the presentation claim, main.tex proves the long-form interface theorems and records the case tables, and review_bundle/ supplies the supplemental source snapshots, case snapshots, and machine-readable manifest rows. None of these rol
4320	4343	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	subsection: Primary--supplement interface	True	For the current presentation package, the Lean-facing assertions in rows pc3 and pc4 of Table~tab:primary-claim-inventory are accepted only as bounded contextual interfaces, not as accepted formal-source claims. The accepted certificate surface is the traceability row a_1, the fake-extension boundary row a_5, Table~tab:source-interface-record, source_interface_record.json, review_bundle/primary_claim_inventory.json, 
4387	4398	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	subsection: Primary--supplement interface	True	In the current presentation package, no manuscript sentence about the Lean/BEDC source interface can be promoted from bounded contextual interface evidence to an accepted formal-source claim unless the certificate is enlarged by an accepted formal-source row containing build-gate and axiom-purity-gate pass records. If a fresh execution reading is also asserted, the certificate must additionally contain the command, s
4428	4453	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	subsection: Primary--supplement interface	True	Fix the certificate schema, dispatch function, and evidence-level vocabulary of this paper. Let c be a load-bearing claim whose accepted certificate has level path-verified and whose boundary field B records that no command-run assertion is made. Then every stronger reading of c that asserts any of the following additional conclusions is rejected by the finite schema verifier: external gate soundness for an arbitrary
4503	4560	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	subsection: Primary--supplement interface	True	This theorem is a manifest-bounded finite-record interface instance of Theorem~thm:evidence-level-overclaim-obstruction: it records only the bounded manifest/evaluator coordinates that may be checked, and it rejects stronger artifact readings unless the package supplies the additional finite records required for them, such as semantic-validation pass records or fresh rerun logs. The interface domain is the finite set
4623	4648	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	subsection: Primary--supplement interface	True	Let c be a finite-witness artifact claim in the current package whose accepted certificate uses the artifact row a_6, and let M_{a_6} be the manifest-bounded coordinate set of Theorem~thm:finite-witness-manifest-record-interface. If a proposed stronger reading c^{sem} asserts semantic validity of the unbounded Rule110/GroundCompiler artifact, semantic correctness of a dynamic evaluator, or artifact validity beyond th
4686	4702	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	subsection: Primary--supplement interface	True	Assume the current primary source submission_abstract.tex is the submitted primary artifact, the twelve-row inventory review_bundle/primary_claim_inventory.json is supplied with the review bundle or an accepted archive-equivalent support surface, and the finite manual inventory audit has identified pc1,,pc12 as the load-bearing primary assertions. Then the current primary-claim inventory is complete for the short pre
4751	4784	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	subsection: Primary--supplement interface	True	Let S be a later edited version of submission_abstract.tex, and let I be a primary-claim inventory with rows of the same form as review_bundle/primary_claim_inventory.json: each row gives a location in S, a claim text or bounded paraphrase, a row status, a certificate surface, and an evidence level. Suppose a manual claim audit of S produces a finite list of load-bearing assertions and verifies the following three co
4818	4830	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map	subsection: Primary--supplement interface	True	Every load-bearing claim made in the current primary artifact submission_abstract.tex is certified by an explicit supplement theorem, table row, or manifest row at a declared evidence level. The certification map is Table~tab:submission-interface-map, refined by Table~tab:primary-claim-inventory, and mirrored in the submission_interface_map field of review_bundle/REVIEW_BUNDLE_MANIFEST.json and the file review_bundle
5062	5070	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization	subsection: Review-bundle and archive-equivalence condition	True	For the current package the selected support branch is exact supplemental inclusion of review_bundle/, but this branch remains conditional until an external upload-or-archive instantiation record exists. If the completed submission contains that directory with the certificate-file digests listed in review_bundle/FINAL_DIGESTS_SHA256.md, then every bundle-backed claim in this supplement has a submitted finite support 
