06787-06813	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims	subsection: Review-bundle and archive-equivalence condition	proof=6815-6852
06854-06885	theorem	thm:support-surface-invariant-compression	Support-surface invariant compression	subsection: Review-bundle and archive-equivalence condition	proof=6887-6917
06919-06937	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary	subsection: Review-bundle and archive-equivalence condition	proof=6939-6960
06962-06973	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record	subsection: Review-bundle and archive-equivalence condition	proof=6975-6983
06985-07000	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records	subsection: Review-bundle and archive-equivalence condition	proof=7002-7027
07029-07074	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol	subsection: Review-bundle and archive-equivalence condition	proof=7076-7118
07120-07145	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation	subsection: Review-bundle and archive-equivalence condition	proof=7147-7171
07173-07184	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state	subsection: Review-bundle and archive-equivalence condition	proof=7186-7203
07205-07234	theorem	thm:digest-closure-refresh-criterion	Digest-closure refresh criterion for final package claims	subsection: Review-bundle and archive-equivalence condition	proof=7236-7271
07274-07297	theorem	thm:submission-support-refresh-rigidity	Submission support refresh rigidity	subsection: Review-bundle and archive-equivalence condition	proof=7299-7343
07346-07361	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support	subsection: Review-bundle and archive-equivalence condition	proof=7363-7392
07412-07429	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary	subsection: Review-bundle and archive-equivalence condition	proof=7431-7457
07459-07479	theorem	thm:extractor-domain-exactness-non-gluing	Extractor-domain exactness and non-gluing	subsection: Review-bundle and archive-equivalence condition	proof=7481-7517
07520-07545	theorem	thm:final-byte-extractor-inventory-inclusion	Final-byte extractor inventory inclusion	subsection: Review-bundle and archive-equivalence condition	proof=7547-7588
07590-07606	theorem	thm:theorem-inventory-proofchecker-obstruction	Theorem-inventory proof-checker obstruction	subsection: Review-bundle and archive-equivalence condition	proof=7608-7636
07638-07659	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary	subsection: Review-bundle and archive-equivalence condition	proof=7661-7688
07690-07708	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure	subsection: Review-bundle and archive-equivalence condition	proof=7710-7737
07739-07751	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance	subsection: Review-bundle and archive-equivalence condition	proof=7753-7773
07775-07795	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate	subsection: Review-bundle and archive-equivalence condition	proof=7797-7830
07832-07857	theorem	thm:post-inventory-finite-record-realization	Post-inventory finite-record realization	subsection: Review-bundle and archive-equivalence condition	proof=7859-7895
07897-07924	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration	subsection: Review-bundle and archive-equivalence condition	proof=7926-7967
07969-07982	proposition	prop:post-inventory-support-tuple-extraction-certificate	Post-inventory support-tuple extraction certificate	subsection: Review-bundle and archive-equivalence condition	proof=7984-8009
08011-08021	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability	subsection: Review-bundle and archive-equivalence condition	proof=8023-8035
08037-08064	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form	subsection: Review-bundle and archive-equivalence condition	proof=8066-8091
08093-08111	corollary	cor:current-local-support-normal-form	Current local-support normal form	subsection: Review-bundle and archive-equivalence condition	proof=8113-8146
08148-08169	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition	subsection: Review-bundle and archive-equivalence condition	proof=None-None
08202-08213	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary	subsection: Review-bundle and archive-equivalence condition	proof=None-None
08233-08251	theorem	thm:finite-row-case-evidence-closure	Finite-row closure of case evidence	subsection: Review-bundle and archive-equivalence condition	proof=8253-8284
08286-08296	corollary	cor:current-case-behaviour-evidence-criterion	Current case-behaviour evidence criterion	subsection: Review-bundle and archive-equivalence condition	proof=8298-8319
08343-08365	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory	subsection: Command-run boundary	proof=None-None
08436-08451	theorem	thm:post-edit-rerun-metadata-gate	Post-edit rerun metadata gate	subsection: Command-run boundary	proof=8453-8476
08478-08533	theorem	thm:final-local-support-state-reconciliation	Final four-interface maximality and support-state reconciliation	subsection: Command-run boundary	proof=8535-8624
08626-08693	theorem	thm:presentation-route-five-interface-sharpness	Presentation-route five-interface sharpness	subsection: Command-run boundary	proof=8695-8772
08774-08795	corollary	cor:presentation-summary-non-escalation	Presentation-summary non-escalation	subsection: Command-run boundary	proof=8797-8831
08833-08863	theorem	thm:submission-support-fixed-point-normal-form	Machine-checkable support-coordinate fixed-point normal form	subsection: Command-run boundary	proof=8865-8899
08901-08918	theorem	thm:post-inventory-support-coordinate-dichotomy	Post-inventory support-coordinate dichotomy	subsection: Command-run boundary	proof=8920-8955
08957-08972	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation	subsection: Command-run boundary	proof=8974-9001
09003-09039	theorem	thm:post-inventory-package-fixed-point	Post-inventory support-coordinate fixed point	subsection: Command-run boundary	proof=9041-9100
09102-09117	corollary	cor:current-post-inventory-realization	Current post-inventory realization	subsection: Command-run boundary	proof=9119-9137
09139-09183	theorem	thm:current-inventory-artifact-realization	Current inventory support-coordinate realization	subsection: Command-run boundary	proof=9185-9229
09231-09248	theorem	thm:current-command-result-closure	Current command-result closure	subsection: Command-run boundary	proof=9250-9275
09277-09293	corollary	cor:current-post-inventory-support-tuple-instantiation	Current post-inventory support tuple instantiation	subsection: Command-run boundary	proof=9295-9323
09325-09343	corollary	cor:stable-replay-post-inventory-tuple	Byte-level stable replay criterion for the post-inventory tuple	subsection: Command-run boundary	proof=9345-9372
09374-09388	proposition	prop:post-inventory-freshness-obstruction	Post-inventory freshness obstruction	subsection: Command-run boundary	proof=9390-9412
09414-09433	proposition	prop:three-coordinate-submission-support-closure	Three-coordinate submission-support closure	subsection: Command-run boundary	proof=9435-9477
09479-09498	corollary	cor:local-fixed-point-external-boundary	Local fixed point and external-support boundary	subsection: Command-run boundary	proof=9500-9528
09530-09564	theorem	thm:four-coordinate-submission-support-skeleton	Four-coordinate submission-support skeleton	subsection: Command-run boundary	proof=9566-9635
