idx	line	end	env	label	title	section
28	1913	1953	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Abstract finite-record interface
29	2011	2014	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Abstract finite-record interface
30	2021	2050	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Abstract finite-record interface
31	2090	2114	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Abstract finite-record interface
32	2191	2229	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Abstract finite-record interface
33	2278	2307	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Abstract finite-record interface
34	2345	2350	proposition	prop:gate-interface-separation	Gate-interface separation	Abstract finite-record interface
35	2369	2387	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Abstract finite-record interface
36	2417	2430	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Abstract finite-record interface
37	2494	2510	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Abstract finite-record interface
38	2538	2638	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	Abstract finite-record interface
39	2746	2775	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Abstract finite-record interface
40	2828	2883	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Abstract finite-record interface
41	2964	3010	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Abstract finite-record interface
42	3070	3119	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Abstract finite-record interface
43	3189	3237	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Abstract finite-record interface
44	3299	3348	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Abstract finite-record interface
45	3410	3438	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Abstract finite-record interface
46	3474	3493	proposition	prop:publication-safety-maximality	Finite-record maximality	Abstract finite-record interface
47	3518	3542	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Abstract finite-record interface
48	3567	3581	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Abstract finite-record interface
49	3614	3650	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Abstract finite-record interface
50	3700	3720	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	Abstract finite-record interface
51	3749	3777	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade	Abstract finite-record interface
52	3849	3888	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	Primary-claim inventory audit
53	3959	4014	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness	Current-package instantiation
54	4082	4104	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	Current-package instantiation
55	4161	4177	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	Current-package instantiation
56	4203	4239	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	Current-package instantiation
57	4296	4321	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	Current-package instantiation
58	4362	4409	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	Current-package instantiation
59	4472	4503	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	Current-package instantiation
60	4575	4586	lemma	lem:gate-witness-criterion	Gate-witness criterion	Case-study witness protocol
61	4600	4624	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	Case-study witness protocol
62	4728	4746	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	Case studies
63	4787	4818	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity	Case studies
64	4930	4949	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	Primary--supplement interface
65	4971	4985	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	Primary--supplement interface
66	5013	5027	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	Primary--supplement interface
67	5043	5067	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	Primary--supplement interface
68	5092	5109	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	Primary--supplement interface
69	5143	5163	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	Primary--supplement interface
70	5214	5224	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	Primary--supplement interface
71	5306	5329	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	Primary--supplement interface
72	5373	5384	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	Primary--supplement interface
73	5414	5439	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	Primary--supplement interface
74	5489	5546	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	Primary--supplement interface
75	5609	5634	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	Primary--supplement interface
76	5672	5688	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	Primary--supplement interface
77	5737	5775	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	Primary--supplement interface
78	5809	5821	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map	Primary--supplement interface
79	6057	6065	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization	Review-bundle and archive-equivalence condition
80	6095	6108	theorem	thm:public-branch-archive-equivalent-realization	Public branch archive-equivalent locator realization	Review-bundle and archive-equivalence condition
81	6141	6163	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test	Review-bundle and archive-equivalence condition
82	6195	6214	theorem	thm:final-support-surface-closure	Final support-surface closure	Review-bundle and archive-equivalence condition
83	6317	6343	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation	Review-bundle and archive-equivalence condition
84	6410	6436	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims	Review-bundle and archive-equivalence condition
85	6477	6508	theorem	thm:support-surface-invariant-compression	Support-surface invariant compression	Review-bundle and archive-equivalence condition
86	6542	6557	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary	Review-bundle and archive-equivalence condition
87	6580	6588	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record	Review-bundle and archive-equivalence condition
88	6595	6610	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records	Review-bundle and archive-equivalence condition
89	6639	6684	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol	Review-bundle and archive-equivalence condition
90	6730	6755	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation	Review-bundle and archive-equivalence condition
91	6783	6794	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state	Review-bundle and archive-equivalence condition
92	6815	6844	theorem	thm:digest-closure-refresh-criterion	Digest-closure refresh criterion for final package claims	Review-bundle and archive-equivalence condition
93	6884	6899	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support	Review-bundle and archive-equivalence condition
94	6950	6967	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary	Review-bundle and archive-equivalence condition
95	6997	7017	theorem	thm:extractor-domain-exactness-non-gluing	Extractor-domain exactness and non-gluing	Review-bundle and archive-equivalence condition
96	7058	7083	theorem	thm:final-byte-extractor-inventory-inclusion	Final-byte extractor inventory inclusion	Review-bundle and archive-equivalence condition
97	7128	7149	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary	Review-bundle and archive-equivalence condition
98	7180	7198	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure	Review-bundle and archive-equivalence condition
99	7229	7241	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance	Review-bundle and archive-equivalence condition
100	7265	7285	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate	Review-bundle and archive-equivalence condition
101	7322	7347	theorem	thm:post-inventory-finite-record-realization	Post-inventory finite-record realization	Review-bundle and archive-equivalence condition
102	7387	7414	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration	Review-bundle and archive-equivalence condition
103	7459	7472	proposition	prop:post-inventory-support-tuple-extraction-certificate	Post-inventory support-tuple extraction certificate	Review-bundle and archive-equivalence condition
104	7501	7511	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability	Review-bundle and archive-equivalence condition
105	7527	7552	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form	Review-bundle and archive-equivalence condition
106	7579	7597	corollary	cor:current-local-support-normal-form	Current local-support normal form	Review-bundle and archive-equivalence condition
107	7634	7655	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition	Review-bundle and archive-equivalence condition
108	7688	7699	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary	Review-bundle and archive-equivalence condition
109	7719	7737	theorem	thm:finite-row-case-evidence-closure	Finite-row closure of case evidence	Review-bundle and archive-equivalence condition
110	7814	7833	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory	Command-run boundary
111	7896	7911	proposition	prop:final-local-support-state-reconciliation	Final local support-state reconciliation	Command-run boundary
112	7941	7971	theorem	thm:submission-support-fixed-point-normal-form	Machine-checkable support-coordinate fixed-point normal form	Command-run boundary
113	8009	8026	theorem	thm:post-inventory-support-coordinate-dichotomy	Post-inventory support-coordinate dichotomy	Command-run boundary
114	8065	8080	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation	Command-run boundary
115	8111	8142	theorem	thm:post-inventory-package-fixed-point	Post-inventory support-coordinate fixed point	Command-run boundary
116	8195	8210	corollary	cor:current-post-inventory-realization	Current post-inventory realization	Command-run boundary
117	8232	8256	theorem	thm:current-inventory-artifact-realization	Current inventory support-coordinate realization	Command-run boundary
118	8286	8302	corollary	cor:current-post-inventory-support-tuple-instantiation	Current post-inventory support tuple instantiation	Command-run boundary
119	8333	8347	corollary	cor:stable-replay-post-inventory-tuple	Byte-level stable replay criterion for the post-inventory tuple	Command-run boundary
