 5255	 5302	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	Operational interface
 5365	 5400	corollary	cor:current-package-path-verified-instantiation	Current package path-verified ledger-relative instantiation	Operational interface
 5472	 5483	lemma	lem:gate-witness-criterion	Gate-witness criterion	Gate summary
 5497	 5521	proposition	prop:path-complete-case-witnesses	Path-complete historical case-audit witnesses	Gate summary
 5625	 5643	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	Case studies
 5684	 5715	theorem	thm:case-witness-skeleton-rigidity	Historical case-audit skeleton rigidity	Case studies
 5827	 5851	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	Evidence boundary
 5878	 5894	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	Evidence boundary
 5924	 5938	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	Evidence boundary
 5954	 5978	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	Evidence boundary
 6003	 6020	proposition	prop:dated-venue-record-instantiation	Dated venue-record instantiation	Evidence boundary
 6054	 6074	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	Evidence boundary
 6125	 6135	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	Evidence boundary
 6217	 6240	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	Evidence boundary
 6284	 6295	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	Evidence boundary
 6325	 6350	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	Evidence boundary
 6400	 6457	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	Evidence boundary
 6520	 6533	proposition	prop:artifact-validation-gate-unique-semantic-upgrade	Artifact-validation gate is the unique semantic upgrade	Evidence boundary
 6559	 6589	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	Evidence boundary
 6634	 6666	theorem	thm:three-boundary-upgrade-sharpness	Three-boundary upgrade sharpness	Evidence boundary
 6759	 6773	theorem	thm:primary-to-support-dependency-completeness	Primary-to-support dependency completeness	Evidence boundary
 6827	 6843	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	Evidence boundary
 6892	 6930	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	Evidence boundary
 6964	 6976	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map	Evidence boundary
 7211	 7224	theorem	thm:exact-inclusion-support-surface-realization	Finite-record support invariant: exact-inclusion support surface	Evidence boundary
 7255	 7274	theorem	thm:public-branch-archive-equivalent-realization	Finite-record support invariant: public branch locator criterion	Evidence boundary
 7317	 7339	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test	Evidence boundary
 7371	 7390	theorem	thm:final-support-surface-closure	Finite-record support invariant: final support-surface closure	Evidence boundary
 7495	 7521	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation	Evidence boundary
 7588	 7614	theorem	thm:support-surface-normal-form	Finite-record support invariant: bundle-backed normal form	Evidence boundary
 7655	 7686	theorem	thm:support-surface-invariant-compression	Finite-record support invariant compression	Evidence boundary
 7720	 7738	theorem	thm:upload-or-archive-instantiation-boundary	Finite-record upload-boundary invariant	Evidence boundary
 7763	 7774	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record	Evidence boundary
 7786	 7800	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records	Evidence boundary
 7828	 7871	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol	Evidence boundary
 7917	 7942	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation	Evidence boundary
 7970	 7981	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state	Evidence boundary
 8002	 8031	theorem	thm:digest-closure-refresh-criterion	Finite-record digest-refresh invariant for final package claims	Evidence boundary
 8071	 8094	theorem	thm:submission-support-refresh-rigidity	Finite-record submission-support refresh invariant	Evidence boundary
 8143	 8158	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support	Evidence boundary
 8209	 8226	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary	Evidence boundary
 8256	 8276	theorem	thm:extractor-domain-exactness-non-gluing	Extractor-domain exactness and non-gluing	Evidence boundary
 8317	 8342	theorem	thm:final-byte-extractor-inventory-inclusion	Final-byte extractor inventory inclusion	Evidence boundary
 8387	 8403	theorem	thm:theorem-inventory-proofchecker-obstruction	Theorem-inventory proof-checker obstruction	Evidence boundary
 8435	 8456	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary	Evidence boundary
 8487	 8505	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure	Evidence boundary
 8536	 8548	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance	Evidence boundary
 8572	 8592	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate	Evidence boundary
 8629	 8660	theorem	thm:post-inventory-finite-record-realization	Finite-record post-inventory realization invariant	Evidence boundary
 8709	 8736	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration	Evidence boundary
 8781	 8794	proposition	prop:post-inventory-support-tuple-extraction-certificate	Post-inventory support-tuple extraction certificate	Evidence boundary
 8823	 8833	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability	Evidence boundary
 8849	 8876	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form	Evidence boundary
 8905	 8923	corollary	cor:current-local-support-normal-form	Current local-support normal form	Evidence boundary
 8960	 8981	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition	Evidence boundary
 9014	 9025	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary	Evidence boundary
 9045	 9063	theorem	thm:finite-row-case-evidence-closure	Finite-row closure of case evidence	Evidence boundary
 9098	 9108	corollary	cor:current-case-behaviour-evidence-criterion	Current case-behaviour evidence criterion	Evidence boundary
 9158	 9180	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory	Evidence boundary
 9251	 9266	theorem	thm:post-edit-rerun-metadata-gate	Post-edit rerun metadata gate	Evidence boundary
 9293	 9348	theorem	thm:final-local-support-state-reconciliation	Finite-record support-state reconciliation invariant	Evidence boundary
 9441	 9508	theorem	thm:presentation-route-five-interface-sharpness	Supplement-level presentation-route five-interface sharpness	Evidence boundary
 9589	 9630	theorem	thm:presentation-route-stronger-reading-classifier	Supplement-level presentation-route stronger-reading classifier	Evidence boundary
 9702	 9722	theorem	thm:end-to-end-upgrade-decomposition-obstruction	End-to-end upgrade decomposition obstruction	Evidence boundary
 9767	 9789	corollary	cor:presentation-summary-non-escalation	Presentation-summary non-escalation	Evidence boundary
 9827	 9857	theorem	thm:submission-support-fixed-point-normal-form	Finite-record support-coordinate fixed-point normal form	Evidence boundary
 9895	 9912	theorem	thm:post-inventory-support-coordinate-dichotomy	Finite-record post-inventory support-coordinate dichotomy	Evidence boundary
 9951	 9969	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation	Evidence boundary
10000	10036	theorem	thm:post-inventory-package-fixed-point	Finite-record post-inventory support-coordinate fixed point	Evidence boundary
10099	10114	corollary	cor:current-post-inventory-realization	Current post-inventory realization	Evidence boundary
10136	10180	theorem	thm:current-inventory-artifact-realization	Finite-record current inventory support-coordinate realization	Evidence boundary
10228	10245	theorem	thm:current-command-result-closure	Finite-record current command-result closure	Evidence boundary
10274	10294	corollary	cor:current-post-inventory-support-tuple-instantiation	Current post-inventory support tuple instantiation	Evidence boundary
10326	10345	proposition	prop:current-round-six-verifier-support-realization	Current round-six verifier and support-coordinate realization	Evidence boundary
10383	10401	corollary	cor:stable-replay-post-inventory-tuple	Byte-level stable replay criterion for the post-inventory tuple	Evidence boundary
10432	10446	proposition	prop:post-inventory-freshness-obstruction	Post-inventory freshness obstruction	Evidence boundary
10472	10491	proposition	prop:three-coordinate-submission-support-closure	Three-coordinate submission-support closure	Evidence boundary
10537	10556	corollary	cor:local-fixed-point-external-boundary	Local fixed point and external-support boundary	Evidence boundary
10588	10608	proposition	prop:current-absence-external-support-surface-instantiation	Current absence of external support-surface instantiation	Evidence boundary
10645	10670	proposition	prop:final-support-coordinate-refresh-closure	Final support-coordinate refresh closure	Evidence boundary
10704	10722	corollary	cor:manifest-required-theorem-inventory-fixed-point	Manifest-required theorem-inventory fixed point	Evidence boundary
10752	10790	theorem	thm:four-coordinate-submission-support-skeleton	Finite-record four-coordinate submission-support skeleton	Evidence boundary
10863	10889	corollary	cor:final-local-fixed-point-external-normal-form	Final local fixed-point and external-support normal form	Evidence boundary
10925	10983	theorem	thm:current-package-no-free-upgrade-closure	Finite-record current-package no-free-upgrade closure	Evidence boundary
11074	11095	theorem	thm:terminal-five-coordinate-closure	Terminal five-coordinate closure for the presentation package	Evidence boundary
11148	11179	theorem	thm:five-issue-coordinate-normal-form	Five-issue coordinate normal form	Evidence boundary
11223	11242	theorem	thm:stage-a2-round-three-issue-coordinate-discharge	Stage--A2 round-three issue-coordinate discharge	Evidence boundary
11277	11303	proposition	prop:exact-stage-a2-issue-skeleton	Exact Stage--A2 issue skeleton	Evidence boundary
11348	11377	corollary	cor:presentation-route-support-coordinate-normal-form	Presentation-route support-coordinate normal form	Evidence boundary
