line,end,env,label,title,has_proof
8764,8781,theorem,thm:post-inventory-support-coordinate-dichotomy,Post-inventory support-coordinate dichotomy,False
8820,8835,proposition,prop:final-refreshed-coordinate-instantiation,Final refreshed-coordinate instantiation,False
8866,8902,theorem,thm:post-inventory-package-fixed-point,Post-inventory support-coordinate fixed point,False
8965,8980,corollary,cor:current-post-inventory-realization,Current post-inventory realization,False
9002,9040,theorem,thm:current-inventory-artifact-realization,Current inventory support-coordinate realization,False
9077,9094,theorem,thm:current-command-result-closure,Current command-result closure,False
9123,9139,corollary,cor:current-post-inventory-support-tuple-instantiation,Current post-inventory support tuple instantiation,False
9171,9189,corollary,cor:stable-replay-post-inventory-tuple,Byte-level stable replay criterion for the post-inventory tuple,False
9220,9239,corollary,cor:local-fixed-point-external-boundary,Local fixed point and external-support boundary,False
9271,9305,theorem,thm:four-coordinate-submission-support-skeleton,Four-coordinate submission-support skeleton,False
