"line","end","env","label","title","section"
"8755","8785","theorem","thm:submission-support-fixed-point-normal-form","Machine-checkable support-coordinate fixed-point normal form","subsection: Command-run boundary"
"8823","8840","theorem","thm:post-inventory-support-coordinate-dichotomy","Post-inventory support-coordinate dichotomy","subsection: Command-run boundary"
"8879","8894","proposition","prop:final-refreshed-coordinate-instantiation","Final refreshed-coordinate instantiation","subsection: Command-run boundary"
"8925","8961","theorem","thm:post-inventory-package-fixed-point","Post-inventory support-coordinate fixed point","subsection: Command-run boundary"
"9024","9039","corollary","cor:current-post-inventory-realization","Current post-inventory realization","subsection: Command-run boundary"
"9061","9105","theorem","thm:current-inventory-artifact-realization","Current inventory support-coordinate realization","subsection: Command-run boundary"
"9153","9170","theorem","thm:current-command-result-closure","Current command-result closure","subsection: Command-run boundary"
"9199","9215","corollary","cor:current-post-inventory-support-tuple-instantiation","Current post-inventory support tuple instantiation","subsection: Command-run boundary"
"9247","9265","corollary","cor:stable-replay-post-inventory-tuple","Byte-level stable replay criterion for the post-inventory tuple","subsection: Command-run boundary"
"9296","9310","proposition","prop:post-inventory-freshness-obstruction","Post-inventory freshness obstruction","subsection: Command-run boundary"
"9336","9355","corollary","cor:local-fixed-point-external-boundary","Local fixed point and external-support boundary","subsection: Command-run boundary"
"9387","9421","theorem","thm:four-coordinate-submission-support-skeleton","Four-coordinate submission-support skeleton","subsection: Command-run boundary"
