file	line	env	label	title	section	snippet
main.tex	791	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture	\label{thm:public-source-reachability-non-escalation} In the current source package, the citation \cite{bedc-newmath-source} and the commit string \path{3fb3d6a0641767388a401883062aa522ea0b397b} serve only as the public-source coordinate for the imported newmath workspace. The load-bearing source-interface premise used by Theorem~\ref{thm:publication-safety-interface} remains the bundled finite record certified by Theorem~\ref{thm:bounded-source-interface-maximality}: path, commit string, sixtee
main.tex	845	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture	\label{cor:public-source-coordinate-exactness} For the present source package, any load-bearing statement containing the public source citation \cite{bedc-newmath-source} and the pinned commit \path{3fb3d6a0641767388a401883062aa522ea0b397b} factors through exactly the bounded coordinates of Theorem~\ref{thm:public-source-reachability-non-escalation}. Thus the citation contributes only the public locator, pinned commit string, and the already-recorded bundled source-interface rows. It contributes
main.tex	883	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture	\label{thm:source-interface-semantic-completeness-obstruction} Under the source-interface surface certified by Lemma~\ref{lem:source-interface-extraction-correctness} and Theorem~\ref{thm:bounded-source-interface-maximality}, every accepted imported discovery-gate premise factors through the five finite fields listed in Theorem~\ref{thm:bounded-source-interface-maximality}. In particular, no theorem in the main publication-safety chain may infer semantic completeness of the imported source theor
main.tex	941	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture	\label{prop:source-interface-evidence-level-separation} Let $r$ be any accepted manuscript claim whose discovery component cites one of the imported labels in Table~\ref{tab:source-interface-record}. If $r$ uses only Lemma~\ref{lem:source-interface-extraction-correctness}, then the imported-label premise of $r$ is accepted only at the manual path-verified bounded-paraphrase level. If $r$ additionally cites Proposition~\ref{prop:source-interface-record-file-consistency}, then the same premise is 
main.tex	1032	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface	\label{def:operational-acceptance-interface} A \emph{claim} is a manuscript assertion that can affect a mathematical, artifact, route, or submission decision. A \emph{load-bearing claim} is a claim whose removal would change a theorem statement, a case-study conclusion, or the submission-readiness status. An \emph{advisory output} is any AI-agent draft, score, suggested theorem, review packet, or repair proposal before a gate records it. A \emph{deterministic gate} is a repeatable predicate, scr
main.tex	1213	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface	\label{def:record-gate-soundness-external-interface} The external record-gate interface for a package is the finite predicate \[ \mathsf{RGS}_{S}(P,L,\Gamma) \] with the following inputs and outputs. Its inputs are exactly a package $P$, a submitted support surface $S$, a finite acceptance ledger $L$, and the deterministic claim-kind dispatch table $\Gamma$ of Definition~\ref{def:operational-acceptance-interface}. Its positive output is the finite family of certificates \[ \{\mathcal C(c)=(K,\el
main.tex	1245	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface	\label{prop:record-gate-soundness-external-interface-exactness} For the operational acceptance interface of Definition~\ref{def:operational-acceptance-interface}, the standalone interface in Definition~\ref{def:record-gate-soundness-external-interface} is equivalent to the predicate $\mathsf{RGS}_{S}(P,L,\Gamma)$ used in the publication-safety theorem. Moreover, under this interface every consequence used by Theorem~\ref{thm:publication-safety-interface} is determined by the finite coordinates $
main.tex	1289	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface	\label{def:stronger-reading-preorder} Fix the dispatch table $\Gamma$ and certificate tuple $\mathcal C(c)=(K,\ell,E,H,R,D,B)$ of Definition~\ref{def:operational-acceptance-interface}. A proposed reading $c^{+}$ of the same prose claim is \emph{record-stronger} than $c$, written $c\preceq_{\Gamma} c^{+}$, if at least one of the following finite coordinates is strictly enlarged while the others are unchanged or enlarged: the claim-kind set $K$; the evidence level, from $\mathsf{path}$ to $\mathsf
main.tex	1313	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface	\label{def:certificate-schema-acceptance-table} Fix the seven-kind dispatch table $\Gamma$ of Definition~\ref{def:operational-acceptance-interface}. The verifier input for a load-bearing claim $c$ is the following finite record type: \[ \mathcal C(c)= \{K,\ell,E,H,R,D,B\}. \] Its typed fields are these and only these: $K$ is a finite set of claim kinds; $\ell\in\{\mathsf{path},\mathsf{command}\}$ is the declared evidence level; $E$ is a finite evidence-surface list; $H$ is the route-boundary fie
main.tex	1353	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface	\label{prop:finite-certificate-schema-verifier} For every load-bearing manuscript claim $c$ whose component kinds lie in the seven-kind domain, $V(c,\mathcal C)$ is a finite, prose-insensitive record-schema verifier for the declared publication certificate. The submitted package instantiates $V$ by the script \path{review_bundle/verify_certificate_records.py}. On the positive package input it reads the schema file, pass-record ledger, submission-interface map, primary-claim inventory, and review
main.tex	1419	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface	\label{thm:verifier-input-output-contract} The verifier interface used by the publication-safety theorem is exactly the following finite mathematical-software contract. Its input is a pair $(c,\mathcal C(c))$, where $c$ is a load-bearing manuscript claim and \(\mathcal C(c)=(K,\ell,E,H,R,D,B)\) is the certificate record of Definition~\ref{def:certificate-schema-acceptance-table}, together with the fixed dispatch table $\Gamma$ and the submitted support surface $S$. Its checked predicates and out
main.tex	1486	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness	Abstract finite-record interface	\label{thm:auditable-compiler-boundary-completeness} For the architecture of Definition~\ref{def:architecture-axis-map} and the finite verifier of Theorem~\ref{thm:verifier-input-output-contract}, the software contribution certified by Theorem~\ref{thm:publication-safety-interface} is exactly the following compiler-boundary property. Every accepted load-bearing claim in the publication package is the image of a finite input tuple \[ (K,\ell,E,H,R,D,B;S,L,\Gamma) \] whose evidence fields are on t
main.tex	1544	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Abstract finite-record interface	\label{thm:finite-verifier-normal-form} Fix the dispatch table $\Gamma$, the submitted support surface $S$, and the finite certificate schema of Definition~\ref{def:certificate-schema-acceptance-table}. There is a deterministic verifier \[ \mathsf{Check}_{\Gamma,S}(c,K,\ell,E,H,R,D,B) \] with the following presentation-layer input/output normal form. \begin{center} \small \begin{tabularx}{\linewidth}{p{0.18\linewidth}p{0.36\linewidth}X} \toprule Step & Input fields read & Returned value \\ \midr
main.tex	1620	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Abstract finite-record interface	\label{thm:record-acceptance-exactness} Fix the seven-kind dispatch table $\Gamma$, the two evidence levels, and the typed certificate tuple $\mathcal C(c)=(K,\ell,E,H,R,D,B)$ of Definition~\ref{def:certificate-schema-acceptance-table}. For every load-bearing claim $c$ and every finite candidate certificate $\mathcal C(c)$, the finite verifier $V$ of Definition~\ref{def:operational-acceptance-interface} and Theorem~\ref{thm:verifier-input-output-contract} accepts $\mathcal C(c)$ if and only if t
main.tex	1680	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface	\label{cor:executable-schema-exactness-negative-fixture} Under the hypotheses and fixed schema of Theorem~\ref{thm:record-acceptance-exactness}, the executable verifier instance \path{review_bundle/verify_certificate_records.py} is a finite witness of the same schema-relative relation, not an additional semantic oracle. On the positive submitted package it can witness exactly the records satisfying \(\mathsf{Acc}_{\Gamma}\) at their declared evidence levels. On the negative fixture \path{review_
main.tex	1719	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface	\label{thm:finite-coordinate-determination-boundary} Fix the dispatch table $\Gamma$ and the verifier $V$. Let $F_{\Gamma}$ be the finite schema projection read by $V$ from a certificate record, namely the claim-kind set, declared evidence level, evidence surface, promotion field, gate-pass rows, discovery-source rows, command-boundary tuple, and the assigned gate set determined by $\Gamma$. If two ambient pipeline or artifact states induce the same values of all coordinates in $F_{\Gamma}$ for 
main.tex	1781	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Abstract finite-record interface	\label{thm:record-interface-rigidity} Fix a package $P$, submitted support surface $S$, finite ledger $L$, dispatch table $\Gamma$, and certificate tuple $\mathcal C(c)=(K,\ell,E,H,R,D,B)$ for each accepted load-bearing claim $c\in L$. Let $\pi_{\Gamma,S}(P,L)$ be the finite projection consisting of the tuple fields $(K,\ell,E,H,R,D,B)$, the gate-pass rows in $R$, the submitted support-surface membership relation for $S$, and the fixed dispatch table $\Gamma$. Then the following are equivalent. 
main.tex	1881	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Abstract finite-record interface	\label{thm:record-gate-implementation-overclaim-obstruction} The hypotheses of Theorem~\ref{thm:publication-safety-interface} and the fixed point of Theorem~\ref{thm:record-interface-rigidity} determine finite certificate construction under the external record-gate interface \(\mathsf{RGS}_{S}(P,L,\Gamma)\), but they do not determine correctness of any gate implementation that produced, stored, or displayed the pass rows. More precisely, for any accepted claim row $c$, the following are equivale
main.tex	1937	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Abstract finite-record interface	\label{cor:finite-record-acceptance-not-implementation-soundness} The acceptance and fixed-point conclusions of Theorem~\ref{thm:record-interface-rigidity} and Theorem~\ref{thm:record-gate-implementation-overclaim-obstruction} are finite record conclusions only. They do not imply Lean rebuild success, BEDC source-tree rebuild success, publication-daemon soundness, overlap-checker soundness, artifact evaluator soundness, venue upload, or venue acceptance. Any one of these stronger readings is acc
main.tex	1976	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface	\label{prop:machine-readable-certificate-records} For the current presentation package, the finite record checker $V$ of Proposition~\ref{prop:finite-certificate-schema-verifier}, with the record-acceptance semantics of Theorem~\ref{thm:record-acceptance-exactness}, has an executable record-level instance over the review bundle, conditional on exact supplemental inclusion of \path{review_bundle/} in the completed submission with matching final digests, as stated in Proposition~\ref{audit:review-
main.tex	2078	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface	\label{thm:executable-record-non-escalation} Let $F$ be the finite field projection read by \path{review_bundle/verify_certificate_records.py}: manifest-field presence, entries $a_1$--$a_6$, claim-kind membership, evidence-level membership, assigned-gate coverage, pass-record fields, evidence-level agreement, discovery-field discipline, path-verified boundary status, row locks for \path{sim1}--\path{sim4}, and row-class locks for \path{pc1}--\path{pc12}. Assuming the exact-or-archive-equivalent 
main.tex	2136	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface	\label{thm:executable-certificate-construction-invariant} For the submitted review bundle, let $G$ be the union of the finite fields read by the two executable verifiers \path{review_bundle/verify_source_interface_record.py} and \path{review_bundle/verify_certificate_records.py}. Thus $G$ contains the ten source-interface table triples, the JSON source-interface records, the pinned source snapshot path, digest, line count, declared source commit and line ranges, the six current-package pass-reco
main.tex	2204	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface	\label{prop:claim-kind-dispatch} For every load-bearing manuscript claim whose kind lies in the seven-kind domain above, $\Gamma$ assigns a unique finite set of deterministic gates. In a pipeline that is record-gate-sound for acceptance, a mixed load-bearing claim may be used as accepted work only if its acceptance entry records passage through every gate in the union assigned to its component kinds. \end{proposition}
main.tex	2225	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Abstract finite-record interface	\label{thm:mixed-claim-projection-obstruction} Let $c$ be a load-bearing mixed claim with nonempty component-kind set $K\subseteq\mathsf{Dom}(\Gamma)$ and submitted candidate certificate $\mathcal C(c)=(K,\ell,E,H,R,D,B)$. For a nonempty subset $J\subseteq K$, write \[ G_J=\bigcup_{k\in J}\Gamma(k) \] and let $c_J$ denote the projected reading of $c$ that keeps exactly the claim-kind components in $J$ and keeps the same declared evidence level, evidence surface, promotion boundary, and command b
main.tex	2288	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Abstract finite-record interface	\label{thm:concrete-finite-script-implementation-soundness} Let $S$ be the submitted support surface containing \path{review_bundle/certificate_schema.json}, \path{review_bundle/current_package_pass_records.json}, \path{review_bundle/submission_interface_map.json}, \path{review_bundle/primary_claim_inventory.json}, \path{source_interface_record.json}, \path{review_bundle/REVIEW_BUNDLE_MANIFEST.json}, the bundled pinned source snapshot, and \path{theorem_inventory.json}. Let $\mathcal V$ be the f
main.tex	2386	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Abstract finite-record interface	\label{cor:finite-script-rgs-instantiation-boundary} Assume the hypotheses of Theorem~\ref{thm:concrete-finite-script-implementation-soundness} and suppose the submitted command-run records for the four named scripts have exit code $0$. Then the only command-run coordinate instantiated for those scripts is the schema-level finite projection coordinate for the predicates printed by those scripts. Consequently Theorem~\ref{thm:publication-safety-interface} may use those command-run rows to support
main.tex	2396	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Abstract finite-record interface	\label{thm:assigned-gate-soundness-audit-boundary} Let $P$ be a finite submitted package with pass-record ledger $L$, dispatch table $\Gamma$, and submitted support surface $S$. For a load-bearing claim $c$, write $G(c)=\bigcup_{k\in K(c)}\Gamma(k)$ for the finite set of gates assigned to its claim-kind set. The package may use a ledger row for $c$ as a sound record-gate witness only through the finite predicate $\mathsf{RGS}_{S}(P,L,\Gamma)$ of Definition~\ref{def:operational-acceptance-interfa
main.tex	2465	theorem	thm:six-coordinate-gate-implementation-soundness-skeleton	Six-coordinate gate-implementation soundness skeleton	Abstract finite-record interface	\label{thm:six-coordinate-gate-implementation-soundness-skeleton} Let $g$ be a concrete gate whose row is used by the publication-safety theorem chain for a load-bearing claim $c$. A submitted support surface $S$ upgrades the row-level record-gate reading for $g$ to gate-implementation soundness only if $S$ contains a finite implementation-soundness tuple \[ \mathcal I(g)=(Q_g,U_g,M_g,X_g,N_g,\Pi_g) \] with the following six coordinates: \begin{enumerate} \item $Q_g$, the submitted gate source i
main.tex	2542	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Abstract finite-record interface	\label{thm:finite-certificate-obstruction-skeleton} Let $c$ be a load-bearing manuscript claim whose component kinds lie in the seven-kind domain. The verifier of Proposition~\ref{prop:finite-certificate-schema-verifier} gives the following complete audit classification at the declared evidence level. A certificate for $c$ passes the publication-safety interface if and only if it has no bad subrecord of the following five types: \begin{enumerate} \item missing evidence surface for the declared e
main.tex	2643	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Abstract finite-record interface	\label{thm:finite-extension-budget-normal-form} Fix the dispatch table $\Gamma$, the finite certificate schema, and an accepted finite certificate \(\mathcal C(c)=(K,\ell,E,H,R,D,B)\) for a load-bearing package claim $c$. Let $c^{+}$ be a proposed stronger reading of the same row which is not record-equivalent to $c$ in the sense of Theorem~\ref{thm:finite-coordinate-determination-boundary}. Then $c^{+}$ is accepted by the publication-safety interface if and only if the submitted finite record s
main.tex	2730	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	Abstract finite-record interface	\label{thm:finite-record-certificate-calculus-spine} Fix a submitted surface $S$, acceptance ledger $L$, dispatch table $\Gamma$, and schema verifier $V$ as in Theorem~\ref{thm:publication-safety-interface}. For the presentation-only route, every load-bearing support assertion used by the publication-safety theorem chain is classified by the following three-step finite calculus. \begin{enumerate} \item \emph{Projection}: the assertion is first projected to the seven-coordinate certificate tuple 
main.tex	2807	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Abstract finite-record interface	\label{prop:publication-safety-dependency-normal-form} Let $c$ be a load-bearing claim whose certificate \(\mathsf{Cert}_{\Gamma}(c)=\mathcal C(c)=(K,\ell,E,H,R,D,B)\) is constructed by the finite schema verifier from the submitted surface $S$, ledger $L$, and dispatch table $\Gamma$. Then every use of the publication-safety interface in the main theorem chain factors through the following ordered dependency graph: \begin{enumerate} \item \emph{construction and schema-relative exactness}: the tu
main.tex	2874	proposition	prop:gate-interface-separation	Gate-interface separation	Abstract finite-record interface	\label{prop:gate-interface-separation} The promotion, overlap, submission-state, and theorem-content delta gates are separate deterministic interfaces. None can be replaced by passage of another one when a load-bearing claim has the corresponding component. \end{proposition}
main.tex	2898	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Abstract finite-record interface	\label{cor:human-promotion-daemon-active-track-separation} In the operational interface of Definition~\ref{def:operational-acceptance-interface}, a human-promotion record and daemon-visible active-paper markers are not interchangeable certificate fields. More precisely, let $c$ be any route-boundary claim whose accepted certificate is $\mathcal C(c)=(K,\ell,E,H,R,D,B)$. The certificate may be read as saying that a candidate is admitted to the publication-facing package only when the promotion fi
main.tex	2946	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Abstract finite-record interface	\label{prop:scheduler-selection-advisory} Let $s$ be a scheduler or critical-path score attached to a candidate claim $c$. If $s$ recommends selecting $c$, then the recommendation is a work-selection claim and by itself can only pass the scheduler gate. If $c$ is also asserted to be a discovery or classifier-shifting contribution in a record-gate-sound pipeline, then the accepted mixed claim must pass both the scheduler gate and the discovery gate. Consequently, critical-path scores may prioriti
main.tex	3023	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Abstract finite-record interface	\label{prop:publication-safety-minimal-bad-record-witness} In the operational interface of Definition~\ref{def:operational-acceptance-interface}, let $r$ be a submitted claim record whose claim-kind set is \{route\}, whose evidence level is declared to be command-run, and whose boundary field contains no command-run tuple $(\text{command},\text{source state},\text{environment},\text{exit code}, \text{log path})$. Suppose all other route coordinates of $r$ are filled: there is an evidence pointer
main.tex	3067	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	Abstract finite-record interface	\label{thm:publication-safety-interface} Consider a theory-to-paper pipeline with the operational interface above and a finite submitted record surface consisting only of the manuscript source, printed tables, submitted manifests, uploaded review-bundle records, recorded logs, and explicitly declared historical boundaries. Assume the following four distinct finite-record hypotheses. \begin{enumerate} \item \emph{Acceptance entries}: every load-bearing claim in an active manuscript is either reje
main.tex	3174	theorem	thm:gate-implementation-soundness-upgrade-obstruction	Gate implementation-soundness upgrade obstruction	Abstract finite-record interface	\label{thm:gate-implementation-soundness-upgrade-obstruction} Let $c$ be a claim accepted by Theorem~\ref{thm:publication-safety-interface} through the record-gate-soundness hypothesis, and let $c^{\mathrm{impl}}$ be a proper strengthening asserting implementation soundness of one or more concrete gate programs used to construct or check the acceptance record for $c$. Then $c^{\mathrm{impl}}$ is accepted by the same finite-record interface if and only if, for every asserted gate program, the sub
main.tex	3341	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Abstract finite-record interface	\label{thm:finite-record-certificate-rigidity} Fix the finite submitted record surface $S$, acceptance ledger $L$, dispatch table $\Gamma$, and schema verifier $V$ used in Theorem~\ref{thm:publication-safety-interface}. Assume the same record-gate soundness and source-interface hypotheses as that theorem. For every accepted load-bearing claim $c$ with certificate \(\mathcal C(c)=(K,\ell,E,H,R,D,B)\), the following are equivalent for a properly stronger reading $c^{+}$ in the preorder of Definiti
main.tex	3423	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Abstract finite-record interface	\label{thm:boundary-axis-non-escalation-exactness} Assume the hypotheses of Theorem~\ref{thm:publication-safety-interface}, and let \(c\) be any load-bearing claim accepted by the finite certificate constructed there. The following five stronger readings of \(c\), when they are not already record-equivalent to \(c\), are accepted by the same publication-safety interface if and only if the submitted finite support surface contains the indicated positive extension coordinates and the added coordin
main.tex	3559	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Abstract finite-record interface	\label{thm:mixed-interface-overclaim-skeleton} Assume the hypotheses of Theorem~\ref{thm:publication-safety-interface}. Let $c$ be an accepted load-bearing claim whose proof uses one or more of the following interface families: record-gate passage, bounded source-interface import, current-package ledger rows, manifest-bounded finite-witness rows, or theorem-obligation inventory rows. Let $c^{+}$ be a proposed reading obtained from $c$ by adding any finite nonempty set $J$ of stronger demands fro
main.tex	3665	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Abstract finite-record interface	\label{thm:presentation-scoped-boundary-normal-form} Assume the submitted package is evaluated only through the finite-record interface of Theorem~\ref{thm:publication-safety-interface}. Then every accepted load-bearing claim using one of the five interface components below has the stated maximal bounded reading, and every strictly stronger reading has the indicated unpaid obstruction unless the submitted surface is enlarged by a fresh finite coordinate and its assigned pass record. \begin{enume
main.tex	3784	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Abstract finite-record interface	\label{thm:five-axis-upgrade-obstruction} Assume the hypotheses of Theorem~\ref{thm:publication-safety-interface}. Let $c$ be an accepted load-bearing claim in this presentation package, evaluated with this paper's finite schema, submitted support surface, dispatch table $\Gamma$, and boundary axis map, whose proof uses at least one of the following bounded interfaces: \[ \text{record-gate},\quad \text{source-interface},\quad \text{finite-witness},\quad \text{primary-inventory},\quad \text{theor
main.tex	3894	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Abstract finite-record interface	\label{thm:current-boundary-skeleton-non-gluing} Assume the support-surface hypotheses used by the current-package instantiation, including the six-row state $P^{+}_{6}$ of Theorem~\ref{thm:current-package-certificate-exactness}, the finite-script projection records of Theorem~\ref{thm:concrete-finite-script-implementation-soundness}, the bounded source-interface certificate of Theorem~\ref{thm:bounded-source-interface-maximality}, the manifest-bounded artifact coordinate $\mathcal M_{a_6}$ of T
main.tex	4033	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Abstract finite-record interface	\label{prop:certificate-constructor-bad-subrecord-extractor} Assume the four finite-record hypotheses of Theorem~\ref{thm:publication-safety-interface}. For every ledger row \(c\) there is a deterministic partial constructor \[ \mathsf{Cert}_{\Gamma}(c)=(K,\ell,E,H,R,D,B) \] and a deterministic extractor \(\mathsf{Bad}_{\Gamma}(c)\) with the following properties. \begin{enumerate} \item \(\mathsf{Cert}_{\Gamma}(c)\) is defined and accepted if and only if the six-clause predicate \(\mathsf{Acc}_{
main.tex	4097	proposition	prop:publication-safety-maximality	Finite-record maximality	Abstract finite-record interface	\label{prop:publication-safety-maximality} Under the hypotheses of Theorem~\ref{thm:publication-safety-interface}, the constructed certificate is maximal with respect to the finite submitted record surface, in the dependency order isolated in Proposition~\ref{prop:publication-safety-dependency-normal-form}. More precisely, let $c$ be an accepted load-bearing claim and let $\mathsf{Cert}_{\Gamma}(c)=(K,\ell,E,H,R,D,B)$ be the certificate constructed in that theorem. If a stronger reading $c^{+}$ 
main.tex	4141	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Abstract finite-record interface	\label{cor:publication-safety-current-package-instance} For the current package, assume the support-surface condition later closed by Theorem~\ref{thm:final-support-surface-closure}: the exact supplemental \path{review_bundle/} directory is uploaded with the submission, or an archive-equivalent replacement with matching final digest records is supplied. Under that explicit availability condition, the finite pass-row components of the hypotheses of Theorem~\ref{thm:publication-safety-interface} a
