1735	theorem	Concrete finite-script projection soundness	thm:concrete-finite-script-implementation-soundness	Abstract finite-record interface
1830	corollary	Finite-script projection instantiation boundary	cor:finite-script-rgs-instantiation-boundary	Abstract finite-record interface
1840	theorem	Assigned-gate soundness audit boundary	thm:assigned-gate-soundness-audit-boundary	Abstract finite-record interface
1909	theorem	Finite certificate obstruction skeleton	thm:finite-certificate-obstruction-skeleton	Abstract finite-record interface
2010	theorem	Finite extension-budget normal form	thm:finite-extension-budget-normal-form	Abstract finite-record interface
2097	proposition	Gate-interface separation	prop:gate-interface-separation	Abstract finite-record interface
2121	corollary	Human promotion is not daemon-visible active-track equivalence	cor:human-promotion-daemon-active-track-separation	Abstract finite-record interface
2169	proposition	Scheduler selection is advisory before discovery gating	prop:scheduler-selection-advisory	Abstract finite-record interface
2244	proposition	Minimal bad-record witness for command-run escalation	prop:publication-safety-minimal-bad-record-witness	Abstract finite-record interface
2288	theorem	Conditional finite-record safety interface under record-gate soundness	thm:publication-safety-interface	Abstract finite-record interface
2480	theorem	Finite-record certificate rigidity	thm:finite-record-certificate-rigidity	Abstract finite-record interface
2562	theorem	Boundary-axis exact non-escalation	thm:boundary-axis-non-escalation-exactness	Abstract finite-record interface
2698	theorem	Mixed-interface overclaim skeleton	thm:mixed-interface-overclaim-skeleton	Abstract finite-record interface
2804	theorem	Scoped boundary normal form for the presentation package	thm:presentation-scoped-boundary-normal-form	Abstract finite-record interface
2918	theorem	Five-axis upgrade obstruction	thm:five-axis-upgrade-obstruction	Abstract finite-record interface
3024	theorem	Current boundary skeleton and non-gluing lower bound	thm:current-boundary-skeleton-non-gluing	Abstract finite-record interface
3131	proposition	Certificate constructor and bad-subrecord extractor	prop:certificate-constructor-bad-subrecord-extractor	Abstract finite-record interface
3195	proposition	Finite-record maximality	prop:publication-safety-maximality	Abstract finite-record interface
3237	corollary	Current-package source-level instance of the safety interface	cor:publication-safety-current-package-instance	Abstract finite-record interface
3279	corollary	Finite-record boundary for external gate soundness	cor:finite-record-gate-soundness-boundary	Abstract finite-record interface
3326	theorem	Boundary extension criterion for implementation-soundness readings	thm:implementation-soundness-extension-criterion	Abstract finite-record interface
3412	corollary	Submitted gate-implementation contract dichotomy	cor:submitted-gate-implementation-contract-dichotomy	Abstract finite-record interface
3461	theorem	External-interface projection and no-free-implementation upgrade	thm:external-interface-projection-no-free-upgrade	Abstract finite-record interface
3561	proposition	Current-package acceptance and certificate ledger	prop:current-package-acceptance-certificate-ledger	Primary-claim inventory audit
3671	theorem	Current-package schema-relative finite-record certificate exactness	thm:current-package-certificate-exactness	Current-package instantiation
3784	theorem	Ledger dependence and semantic extractor-completeness boundary	thm:manual-ledger-dependence-boundary	Current-package instantiation
3863	corollary	Row-frozen current-package invariance	cor:row-frozen-current-package-invariance	Current-package instantiation
3905	theorem	Current-package extension-coordinate rigidity	thm:current-package-extension-coordinate-rigidity	Current-package instantiation
3998	theorem	Current-package semantic non-escalation	thm:current-package-semantic-non-escalation	Current-package instantiation
4064	theorem	Named boundary positive-coordinate classification	thm:named-boundary-positive-coordinate-classification	Current-package instantiation
4174	corollary	Current package path-verified instantiation	cor:current-package-path-verified-instantiation	Current-package instantiation
4277	lemma	Gate-witness criterion	lem:gate-witness-criterion	Case-study witness protocol
4302	proposition	Path-complete case witnesses	prop:path-complete-case-witnesses	Case-study witness protocol
4430	proposition	Review-bundle case-snapshot coverage	prop:review-bundle-case-snapshot-coverage	Case studies
4489	theorem	Case-witness skeleton rigidity	thm:case-witness-skeleton-rigidity	Case studies
4632	proposition	Fresh venue-record criterion	audit:fresh-venue-record-criterion	Primary--supplement interface
4673	theorem	Venue-rule freshness non-escalation	thm:venue-rule-freshness-non-escalation	Primary--supplement interface
4715	corollary	Historical venue record non-escalation	cor:historical-venue-record-non-escalation	Primary--supplement interface
4744	corollary	Upload-time venue-compliance record requirement	cor:upload-time-venue-compliance-record-requirement	Primary--supplement interface
4793	proposition	Round-five venue-record instantiation	prop:round-five-venue-record-instantiation	Primary--supplement interface
4842	proposition	Venue-submission pack gate	audit:venue-submission-pack-gate	Primary--supplement interface
4913	proposition	Submission artifact role separation	audit:submission-artifact-role-separation	Primary--supplement interface
5005	proposition	Formal-source gate instantiation	prop:formal-source-gate-instantiation	Primary--supplement interface
5072	theorem	Formal-source promotion obstruction	thm:formal-source-promotion-obstruction	Primary--supplement interface
5113	theorem	Evidence-level overclaim obstruction	thm:evidence-level-overclaim-obstruction	Primary--supplement interface
5188	theorem	Finite-witness manifest-bounded record interface	thm:finite-witness-manifest-record-interface	Primary--supplement interface
5308	corollary	Artifact semantic-validity boundary for finite witnesses	cor:artifact-semantic-validity-boundary	Primary--supplement interface
5371	proposition	Primary-claim conditional inventory-audit classification	prop:primary-claim-row-classification	Primary--supplement interface
5436	proposition	Primary-inventory freshness criterion	prop:primary-inventory-freshness-criterion	Primary--supplement interface
5508	proposition	Primary--supplement interface map	prop:primary-supplement-interface-map	Primary--supplement interface
5756	theorem	Exact-inclusion support-surface realization	thm:exact-inclusion-support-surface-realization	Review-bundle and archive-equivalence condition
5794	theorem	Public branch archive-equivalent locator realization	thm:public-branch-archive-equivalent-realization	Review-bundle and archive-equivalence condition
5840	corollary	Submission-time support instantiation test	cor:submission-time-support-instantiation-test	Review-bundle and archive-equivalence condition
5894	theorem	Final support-surface closure	thm:final-support-surface-closure	Review-bundle and archive-equivalence condition
6016	theorem	Workspace-to-final-package reconciliation	thm:workspace-final-package-reconciliation	Review-bundle and archive-equivalence condition
6109	theorem	Support-surface normal form for bundle-backed claims	thm:support-surface-normal-form	Review-bundle and archive-equivalence condition
6176	theorem	Support-surface invariant compression	thm:support-surface-invariant-compression	Review-bundle and archive-equivalence condition
6241	theorem	Upload instantiation boundary	thm:upload-or-archive-instantiation-boundary	Review-bundle and archive-equivalence condition
6279	corollary	Upload-or-archive instantiation record	cor:upload-or-archive-instantiation-record	Review-bundle and archive-equivalence condition
6294	proposition	No external instantiation from local bundle records	prop:no-external-instantiation-from-local-bundle-records	Review-bundle and archive-equivalence condition
6338	proposition	Upload-or-archive instantiation update protocol	prop:upload-or-archive-instantiation-update-protocol	Review-bundle and archive-equivalence condition
6429	corollary	Current no-receipt support-surface non-escalation	cor:current-no-receipt-support-surface-non-escalation	Review-bundle and archive-equivalence condition
6482	corollary	Fresh inventory digest instance for this source state	cor:fresh-inventory-digest-instance-this-source-state	Review-bundle and archive-equivalence condition
6514	theorem	Digest-closure refresh criterion for final package claims	thm:digest-closure-refresh-criterion	Review-bundle and archive-equivalence condition
6583	proposition	Primary architectural fallback without external support	prop:primary-architectural-fallback-without-external-support	Review-bundle and archive-equivalence condition
6649	theorem	Deterministic theorem-environment extractor boundary	thm:deterministic-theorem-environment-extractor-boundary	Review-bundle and archive-equivalence condition
6696	theorem	Theorem-inventory boundary	prop:manual-theorem-inventory-boundary	Review-bundle and archive-equivalence condition
6748	proposition	Regenerated theorem-inventory digest closure	prop:regenerated-theorem-inventory-digest-closure	Review-bundle and archive-equivalence condition
6797	corollary	Current theorem-inventory digest instance	cor:current-theorem-inventory-digest-instance	Review-bundle and archive-equivalence condition
6833	proposition	Post-inventory fixed-point support certificate	prop:post-inventory-fixed-point-support-certificate	Review-bundle and archive-equivalence condition
6890	theorem	Post-inventory finite-record realization	thm:post-inventory-finite-record-realization	Review-bundle and archive-equivalence condition
6955	theorem	Seven-row submitted theorem-obligation ledger integration	thm:theorem-obligation-ledger-boundary	Review-bundle and archive-equivalence condition
7027	proposition	Post-inventory support-tuple extraction certificate	prop:post-inventory-support-tuple-extraction-certificate	Review-bundle and archive-equivalence condition
7069	proposition	Submitted theorem-inventory availability	prop:submitted-theorem-inventory-availability	Review-bundle and archive-equivalence condition
7095	proposition	Submission-support instantiation field normal form	prop:submission-support-instantiation-field-normal-form	Review-bundle and archive-equivalence condition
7147	corollary	Current local-support normal form	cor:current-local-support-normal-form	Review-bundle and archive-equivalence condition
7202	proposition	Review-bundle availability condition	audit:review-bundle-availability-condition	Review-bundle and archive-equivalence condition
7256	proposition	Case-snapshot non-rerun boundary	audit:case-snapshot-non-rerun-boundary	Review-bundle and archive-equivalence condition
7287	theorem	Finite-row closure of case evidence	thm:finite-row-case-evidence-closure	Review-bundle and archive-equivalence condition
7382	proposition	Command-run boundary inventory	audit:command-run-boundary-inventory	Command-run boundary
7464	proposition	Final local support-state reconciliation	prop:final-local-support-state-reconciliation	Command-run boundary
7509	theorem	Submission-support fixed-point normal form	thm:submission-support-fixed-point-normal-form	Command-run boundary
7570	theorem	Post-inventory support-coordinate dichotomy	thm:post-inventory-support-coordinate-dichotomy	Command-run boundary
7626	proposition	Final refreshed-coordinate instantiation	prop:final-refreshed-coordinate-instantiation	Command-run boundary
7672	theorem	Post-inventory package fixed point	thm:post-inventory-package-fixed-point	Command-run boundary
7755	corollary	Round-two post-inventory realization	cor:round-two-post-inventory-realization	Command-run boundary
7792	theorem	Round-four inventory artifact realization	thm:round-four-inventory-artifact-realization	Command-run boundary
7846	corollary	Current post-inventory support tuple instantiation	cor:current-post-inventory-support-tuple-instantiation	Command-run boundary
7893	corollary	Stable replay criterion for the post-inventory tuple	cor:stable-replay-post-inventory-tuple	Command-run boundary
